This file was produced by gsnoop                                                                                                 
Using spoolfile:  /500/solutions/2015a_astro/Dec-18/2015a_astro_minus3.spl                                                       
                                                                                                                                 
 VLBI source positions for epoch  51544.5 MJD                                                                                    
                                                                                                                                 
source name      |Right  Ascension |  Declination    |  Uncertainties     | cor  | mean  | first | last  |  observations         
IAU name|IVS name|Hr|Mn|  Seconds  |Deg|Mn| Seconds  |  Unc RA  |Unc Dec  |Ra-Dc |  MJD  |  MJD  |  MJD  |sess |delay |rates     
        |        |  |  |           |   |  |          |          |         |      |       |       |      |     |      |           
0        2357-326 00 00 20.39996992 -32 21  1.2332601 0.00000935 0.0003432 0.4263 55207.1 52306.7 56818.4     2    112      0 GLO
0        2358+406 00 00 53.08142036  40 54  1.8030883 0.00002745 0.0003288 -.2309 54446.9 50242.8 56818.4     2     61      0 GLO
0        2358-161 00 01  5.32872507 -15 51  7.0750229 0.00000686 0.0002188 0.0598 54058.4 50632.3 56818.4     2    130      0 GLO
0        2358+605 00 01  7.09983154  60 51 22.7979634 0.00004008 0.0002052 0.4956 56150.1 52306.7 56879.0     2     69      0 GLO
0        2358+189 00 01  8.62156780  19 14 33.8016805 0.00000105 0.0000264 -.0148 55078.8 50085.5 57275.7   129   2731      0 GLO
0        2359-221 00 02 11.98144687 -21 53  9.8660462 0.00002510 0.0009237 -.6085 55378.7 54818.7 55483.7     2     19      0 GLO
0        0000-199 00 03 15.94938277 -19 41 50.4013377 0.00001157 0.0003880 0.3036 56456.5 54088.1 56818.4     2     83      0 GLO
0        0000-197 00 03 18.67503078 -19 27 22.3553144 0.00001476 0.0004185 0.1695 53568.5 50632.3 56879.0     3    143      0 GLO
0        0000+212 00 03 19.35001319  21 29 44.5081884 0.00000689 0.0001945 -.0910 54226.1 50085.5 57047.0     3    162      0 GLO
0        0000-160 00 03 27.26392166 -15 47  5.4404357 0.00116429 0.0226520 0.8989 57077.1 54818.7 57135.7     2     79      0 GLO
0        0001+478 00 03 46.04157305  48 07  4.1352509 0.00004385 0.0004436 -.0436 56704.1 50306.3 56818.4     2     57      0 GLO
0        0001-120 00 04  4.91498852 -11 48 58.3858649 0.00000597 0.0001952 -.1229 51045.0 50576.2 53134.5     3    109      0 GLO
0        0001+459 00 04 16.12765695  46 15 17.9705385 0.00001099 0.0001214 0.1744 53503.8 50306.3 56879.0     2    148      0 GLO
0        0002-478 00 04 35.65548236 -47 36 19.6039386 0.00000530 0.0000859 0.2388 54675.0 49330.5 57219.8    48    302      0 GLO
0        0002+200 00 04 35.75830368  20 19 42.3175047 0.00000941 0.0001555 0.1078 52600.4 52409.7 52983.7     3    102      0 GLO
0        0002+541 00 05  4.36341097  54 28 24.9246463 0.00001590 0.0001199 0.1447 53747.1 49577.0 56662.4     3    152      0 GLO
0        0002-350 00 05  5.92509212 -34 45 49.6570906 0.00003190 0.0010194 0.7288 56879.0 56879.0 56879.0     1     49      0 GLO
