% The GIA uplift rates are derived by bicubic interpolation of the ICE-5G_VM2_2012 vertical
% land movement grids obtained from Dick Peltier's website (provided by Matt King).
%
%          lon(deg) lat(deg)    uplift [mm/y]
ALGOPARK   281.927  45.9555     1.68447               
BADARY     102.234  51.7703     0.564798              
BR-VLBA    240.317  48.1312    -0.688783             
CRIMEA     33.9796  44.3976    -0.39272              
CTVASTJ    307.321  47.5952    -1.07226              
DSS15      243.113  35.4218    -0.678384                        
DSS45      148.978 -35.3984    -0.120925      
DSS65      355.749  40.4272     0.0786089                         
FD-VLBA    256.055  30.635     -0.771916             
FORTLEZA   321.574 -3.87786     0.0359619                   
GGAO7108   283.173  39.022     -1.50655                           
GILCREEK   212.503  64.9784    -0.770062             
HART15M    27.6843 -25.8897     0.05749        
HARTRAO    27.6854 -25.8898     0.0575114      
HATCREEK   238.53   40.8173    -0.834201             
HAYSTACK   288.512  42.6233    -0.724755             
HN-VLBA    288.013  42.9336    -0.434238             
HOBART12   147.438 -42.8056    -0.319993      
HOBART26   147.441 -42.8035    -0.319879      
HRAS 085   256.053  30.6368    -0.772002                          
KASHIM11   140.657  35.9556     0.457808                            
KASHIM34   140.66   35.9559     0.45761               
KASHIMA    140.663  35.9541     0.457263                         
KATH12M    132.152 -14.3754     0.0117766      
KAUAI      200.335  22.1263    -0.182734             
KOKEE      200.335  22.1266    -0.182734             
KP-VLBA    248.388  31.9563    -0.67685              
KWAJAL26   167.482  9.39877    -0.10137              
LA-VLBA    253.754  35.7751    -1.08929              
MATERA     16.704   40.6496    -0.254208                          
MEDICINA   11.6469  44.5205    -0.112833             
METSAHOV   24.3931  60.2178     2.5548                
MIAMI20    279.615  25.6137    -0.74917              
MK-VLBA    204.544  19.8014    -0.158797                         
MOJAVE12   243.112  35.3316    -0.677581             
NL-VLBA    268.426  41.7714    -1.79714              
NOTO       14.989   36.876     -0.475158             
NRAO20     280.174  38.4368    -1.24112                           
NRAO85 3   280.157  38.4296    -1.2393               
NYALES20   11.8697  78.9291     0.460816              
OHIGGINS   302.099 -63.3211     2.06571        
ONSALA60   11.9263  57.3958     1.49774               
OV-VLBA    241.723  37.2317    -0.683456             
OVRO 130   241.717  37.2314    -0.683203             
PARKES     148.263 -32.9984    -0.0680467     
PIETOWN    251.881  34.301     -0.95559              
RICHMOND   279.615  25.6137    -0.749171             
SANTIA12   289.332 -33.1515     0.618003       
SC-VLBA    295.416  17.7566    -0.6359               
SESHAN25   121.2    31.0992     0.571661              
SVETLOE    29.7819  60.5324     1.53592               
SYOWA      39.5863 -69.0063     0.16725              
TIGOCONC   286.975 -36.8427     0.570039       
TIGOWTZL   12.8776  49.1445    -0.0039022            
TRYSILNO   12.3816  61.4228     5.9888                            
TSUKUB32   140.089  36.1031     0.511551              
URUMQI     87.1781  43.4715     0.546619              
VNDNBERG   239.384  34.5561    -0.967646             
WARK12M    174.663 -36.4348    -0.00169351    
WESTFORD   288.506  42.613     -0.732149             
WETTZELL   12.8774  49.145     -0.00389734           
YARRA12M   115.346 -29.0471    -0.29835       
YEBES      356.911  40.5242     0.0453771             
YEBES40M   356.913  40.5246     0.0452719             
YLOW7296   245.521  62.4806     8.75112                           
ZELENCHK   41.5652  43.7877     0.100523              
AIRA       49.4001  31.8238     0.328471              
AIRA       49.4001  31.8237     0.328469              
CTVASBAY   284.081  45.4001     1.49009                          
CHICHI10   37.805   27.0672     0.165248              
DSS65A     355.749  40.4272     0.0785975                        
EFLSBERG   6.88361  50.5248    -0.0206557                        
FORTORDS   301.772  36.5894    -1.46749              
GORF7102   283.172  39.0207    -1.50609              
KODIAK     332.497  57.74      -1.52665                           
KOGANEI    40.5119  35.7106     0.253347              
KUNMING    77.2041  25.0273     0.445949              
MARCUS     26.0158  24.29       0.0629192             
MARPOINT   282.769  38.3743    -1.31055              
METSHOVI   24.3843  60.242      2.59433               
MIZNAO10   38.8676  39.1333     0.205729              
MON_PEAK   296.423  32.8917    -1.39468              
NRAO_140   280.164  38.4378    -1.24138              
NOBEY_6M   41.5278  35.9409     0.256185              
PLATTVIL   284.726  40.1828    -1.8001                             
PRESIDIO   302.455  37.8053    -1.54482              
PT_REYES   302.937  38.1035    -1.55057              
QUINCY     300.944  39.9745    -1.90649              
SEST       289.268 -29.2635     0.529545                    
SINTOTU3   38.1555  43.5288    -0.272941             
SNDPOINT   340.475  55.3523    -1.22194              
SOURDOGH   325.484  62.6639    -2.41152                           
TIDBIN64   31.0187 -35.4024    -0.381716      
TROMSONO   18.9395  69.663      1.26645               
UCHINOUR   48.9216  31.2543     0.308393                            
VERAISGK   55.8291  24.4122     0.288727                            
VERAMZSW   38.8674  39.1336     0.205713                             
WHTHORSE   315.077  60.7113     3.04086               
YAKATAGA   322.486  60.0815    -1.82459                           
BLKBUTTE   295.72   33.6638    -1.46703              
DEADMANL   296.279  34.255     -1.49014              
DSS13      296.794  35.2472    -1.55318              
