AIRA       31.82  130.60  322.39   -0.34    0.41   -0.76   -0.45    0.13   -0.11    0.05    0.03    0.25    0.29   -0.06    0.19 
ALGOPARK   45.96  281.93  224.00    0.40    0.08   -0.06   -0.56   -0.23    0.05   -0.04    0.13   -0.09   -0.36   -0.21   -0.01 
AUSTINTX   30.34  262.30  189.63    0.72    0.29    0.62   -0.77   -0.16   -0.02   -0.10    0.07    0.04   -0.32   -0.18   -0.16 
AZORES     37.74  334.34   58.57    0.16   -0.12   -0.70    0.14   -0.08    0.18    0.06   -0.00   -0.38   -0.21    0.04    0.21 
BERMUDA    32.36  295.33  -30.69    0.41    0.04   -0.39   -0.84   -0.14    0.06   -0.00    0.10   -0.16   -0.35   -0.22    0.09 
BLKBUTTE   33.66  244.28  489.40    0.42    0.45    0.85   -0.24   -0.16   -0.05   -0.14    0.03    0.12   -0.31   -0.07   -0.23 
BLOOMIND   39.18  273.50  217.94    0.56    0.18    0.19   -0.71   -0.19    0.02   -0.07    0.12   -0.03   -0.34   -0.21   -0.07 
BR-VLBA    48.13  240.32  250.50    0.23    0.33    0.43   -0.07   -0.23   -0.10   -0.17    0.02    0.16   -0.31   -0.04   -0.21 
BREST      48.41  355.50  104.48    0.07   -0.14   -0.36    0.41   -0.00    0.27    0.04   -0.08   -0.41   -0.05    0.12    0.10 
CARNUSTY   56.48  357.22   57.86    0.05   -0.05   -0.26    0.29    0.00    0.32    0.04   -0.08   -0.42   -0.05    0.10    0.08 
CARROLGA   33.57  274.89  299.52    0.64    0.18    0.22   -0.87   -0.17    0.01   -0.07    0.11   -0.03   -0.33   -0.22   -0.06 
CHICHI10   27.07  142.20  107.52   -0.24    0.43   -0.90   -0.08    0.09   -0.10    0.05   -0.01    0.29    0.23   -0.01    0.21 
CHLBOLTN   51.15  358.56  146.79    0.05   -0.15   -0.29    0.39    0.01    0.29    0.03   -0.08   -0.41   -0.03    0.12    0.08 
CRIMEA     44.40   33.98   50.19   -0.11   -0.34    0.29    0.48    0.15    0.21   -0.08   -0.05   -0.30    0.22    0.10   -0.11 
CTVASBAY   45.40  284.08   47.94    0.41    0.08   -0.10   -0.57   -0.23    0.06   -0.03    0.13   -0.10   -0.36   -0.21    0.00 
CTVASTJ    47.60  307.32  155.06    0.20   -0.00   -0.45   -0.32   -0.21    0.15    0.05    0.09   -0.24   -0.35   -0.15    0.14 
