Reference: IERS Technical Note 35

Notes:

 (1) 	ICRF Designations, constructed from J2000.0 coordinates with the format 
		ICRF JHHMMSS.s+DDMMSS   or   ICRF JHHMMSS.s-DDMMSS 
	They follow the recommendations of the IAU Task Group on Designations.

 (2)	IERS Designations, previously constructed from B1950 coordinates. 
	The complete format, including acronym and epoch in addition to the
        coordinates, is
		IERS BHHMM+DDd   or   IERS BHHMM-DDd

 (3)	D means defining sources, i.e. define the ICRF2 frame axes.

 (4)	For the 39 special handling sources the correlation RA-DC is not available and set to 0.000 

Coordinates of 1217 non VCS sources in ICRF2
---------------------------------------------------------------------------------------------------------------------------------------------
 ICRF Designation     IERS Des. Inf. Right Ascension     Declination         Uncertainty         Corr.   Mean   First    Last    Nb      Nb
        (1)              (2)    (3)      J2000.0           J2000.0         R.A.      Dec.        RA-Dc   MJD     MJD     MJD    sess.    del.
                                      h  m  s             o  '  "          s          "           (4)    of observation span 
---------------------------------------------------------------------------------------------------------------------------------------------
ICRF J000108.6+191433  2358+189     00 01 08.62156690   19 14 33.8017390  0.00000490 0.0000984   0.080  53306.0 50085.5 54907.7     21    716
ICRF J000211.9-215309  2359-221     00 02 11.98262436  -21 53 09.8359742  0.00115400 0.0386714   0.971  54818.7 54818.7 54818.7      1      3
ICRF J000435.6-473619  0002-478  D  00 04 35.65550384  -47 36 19.6037899  0.00001359 0.0002139   0.383  52501.0 49330.5 54670.7     28    129
ICRF J000435.7+201942  0002+200     00 04 35.75829931   20 19 42.3174919  0.00001434 0.0002426   0.079  52600.4 52409.7 52983.7      3    102
ICRF J000557.1+382015  0003+380     00 05 57.17539168   38 20 15.1489409  0.00000488 0.0000621  -0.083  52010.2 48720.9 54718.7     26   1518
ICRF J000613.8-062335  0003-066     00 06 13.89288849  -06 23 35.3353162  0.00000277 0.0000437  -0.035  52342.2 47176.5 54889.8   1254  26713
ICRF J000800.3-233918  0005-239     00 08 00.36965673  -23 39 18.1511374  0.00002400 0.0007055  -0.650  50918.1 50632.3 54643.7      3     95
ICRF J001031.0+105829  0007+106  D  00 10 31.00590186   10 58 29.5043827  0.00000491 0.0000930  -0.187  53063.9 47288.7 54803.7     29    559
ICRF J001033.9+172418  0007+171     00 10 33.99063132   17 24 18.7613217  0.00000486 0.0000824  -0.098  51780.9 47931.6 54844.7     40   1242
ICRF J001052.5-415310  0008-421     00 10 52.51790008  -41 53 10.7781702  0.00019412 0.0043581  -0.068  50998.2 48162.4 52409.7      5     22
ICRF J001101.2-261233  0008-264  D  00 11 01.24673846  -26 12 33.3770171  0.00000660 0.0000936  -0.183  52407.5 47686.1 54768.6     45    592
ICRF J001135.2+082355  0009+081     00 11 35.26963063   08 23 55.5862723  0.00001305 0.0004120  -0.455  52574.8 49914.7 53609.2      2    100
ICRF J001331.1+405137  0010+405  D  00 13 31.13020334   40 51 37.1441040  0.00000482 0.0000683  -0.139  51619.2 48434.7 54713.7     22   1083
ICRF J001611.0-001512  0013-005  D  00 16 11.08855479  -00 15 12.4453413  0.00000435 0.0001005  -0.235  50403.0 47394.1 51492.8     67    716
ICRF J001708.4+813508  0014+813     00 17 08.47492105   81 35 08.1365288  0.00008598 0.0002624   0.000  50567.9 47023.3 54112.5   1185  61191
ICRF J001937.8+202145  0017+200     00 19 37.85450158   20 21 45.6446718  0.00000655 0.0001138  -0.040  51210.3 50085.5 53609.2      5    356
ICRF J001945.7+732730  0016+731  D  00 19 45.78641940   73 27 30.0174396  0.00000989 0.0000424  -0.050  49249.8 44343.6 54865.7    458  25038
ICRF J002232.4+060804  0019+058  D  00 22 32.44120914   06 08 04.2690807  0.00000439 0.0000956  -0.237  52705.8 47394.1 54880.7     42    800
ICRF J002427.3+243926  0021+243     00 24 27.33054544   24 39 26.2295755  0.00001415 0.0002517  -0.039  52670.8 52409.7 53307.8     11    115
ICRF J002442.9-420203  0022-423     00 24 42.98977943  -42 02 03.9479276  0.00006971 0.0013214  -0.582  51518.2 48162.4 53131.8      8     37
ICRF J002715.3+224158  0024+224     00 27 15.37153913   22 41 58.0688698  0.00004355 0.0006729  -0.137  50621.1 50085.5 54664.7      3    120
ICRF J002829.8+200026  0025+197     00 28 29.81848608   20 00 26.7443060  0.00001399 0.0003630  -0.143  50454.5 50085.5 54837.7      5    209
ICRF J002914.2+345632  0026+346     00 29 14.24246572   34 56 32.2471186  0.00003535 0.0004340   0.457  49505.8 47011.4 51386.3     14    234
ICRF J002945.8+055440  0027+056     00 29 45.89631066   05 54 40.7124201  0.00001584 0.0003807  -0.175  50645.2 49914.7 54643.7      2    123
ICRF J003525.3+613030  0032+612     00 35 25.31063011   61 30 30.7613057  0.00006099 0.0004981   0.307  53460.9 52620.7 53552.8      2     71
ICRF J003758.2+240711  0035+238     00 37 58.29982404   24 07 11.8699687  0.00016333 0.0046830  -0.479  54292.7 54292.7 54292.7      1     12
ICRF J003814.7-245902  0035-252     00 38 14.73550693  -24 59 02.2351862  0.00000815 0.0001397  -0.095  52498.1 50632.3 54907.7      7    301
ICRF J003820.5-020740  0035-024     00 38 20.52934827  -02 07 40.5476126  0.00001584 0.0004962  -0.410  54125.8 54125.8 54125.8      1     82
ICRF J003824.8+413706  0035+413  D  00 38 24.84359231   41 37 06.0003032  0.00000499 0.0000613  -0.035  52262.4 49422.9 54887.7     18   1024
ICRF J003939.6+141157  0037+139     00 39 39.61959335   14 11 57.5567419  0.00001465 0.0003107  -0.249  50925.2 50085.5 53193.7      6    195
ICRF J004007.8-590352  0037-593     00 40 07.84908888  -59 03 52.7640423  0.00006916 0.0007714   0.327  53594.7 52887.6 54457.4      5     30
ICRF J004204.5+232001  0039+230     00 42 04.54517179   23 20 01.0620234  0.00000425 0.0000798  -0.119  52211.0 48919.9 54795.7     21   1079
ICRF J004219.4+570836  0039+568     00 42 19.45169063   57 08 36.5860772  0.00002746 0.0002988   0.207  51249.7 49577.0 54664.7      2    146
ICRF J004847.1+315725  0046+316     00 48 47.14148006   31 57 25.0848725  0.00000468 0.0000875  -0.137  53102.3 50219.8 54739.7     23    813
ICRF J004943.2+023703  0047+023     00 49 43.23594851   02 37 03.7783255  0.00001326 0.0003898  -0.169  51750.4 49914.7 54872.7      5    185
ICRF J004959.4-573827  0047-579     00 49 59.47306878  -57 38 27.3399688  0.00001384 0.0001470   0.245  52043.3 47626.5 54706.7     39    189
ICRF J005041.3-092905  0048-097  D  00 50 41.31738756  -09 29 05.2102688  0.00000278 0.0000428  -0.030  51323.1 44773.8 54816.7   1802  41482
ICRF J005109.5-422633  0048-427  D  00 51 09.50182012  -42 26 33.2932480  0.00000932 0.0001177   0.013  53857.8 52306.7 54907.7     31    315
ICRF J005655.2+162513  0054+161     00 56 55.29432846   16 25 13.3409281  0.00000984 0.0001923   0.212  53385.7 50156.3 54852.7      6    130
ICRF J005748.8+302108  0055+300     00 57 48.88334932   30 21 08.8119505  0.00000590 0.0000921  -0.356  51950.0 50219.8 53178.7     22    869
ICRF J005805.0-053952  0055-059     00 58 05.06630952  -05 39 52.2778596  0.00000507 0.0001022  -0.066  53919.4 50576.2 54852.7      7    346
ICRF J005846.5-565911  0056-572     00 58 46.58117584  -56 59 11.4706965  0.00003993 0.0005795   0.358  50239.8 47626.5 52941.7      8     36
ICRF J005905.5+000651  0056-001     00 59 05.51492827   00 06 51.6209985  0.00000812 0.0002161  -0.193  50627.4 47875.8 53068.7     15    363
ICRF J010009.3-333731  0057-338     01 00 09.39094184  -33 37 31.9360512  0.00008300 0.0036751  -0.236  54381.5 52306.7 54440.7      2     36
ICRF J010245.7+582411  0059+581  D  01 02 45.76238248   58 24 11.1366009  0.00000523 0.0000414   0.009  52030.9 48720.9 54880.7   1864 236989
ICRF J010529.5+512546  0102+511     01 05 29.55851181   51 25 46.5809142  0.00027629 0.0015295  -0.515  52811.6 50306.3 54314.7      2     24
ICRF J010626.0-271811  0104-275     01 06 26.08205896  -27 18 11.8248061  0.00001174 0.0004112  -0.087  50845.3 50688.3 54664.7      2     76
ICRF J010633.3+130002  0103+127     01 06 33.35654134   13 00 02.6038991  0.00002572 0.0008471  -0.633  54037.5 50156.3 54314.7      2     75
ICRF J010645.1-403419  0104-408  D  01 06 45.10796851  -40 34 19.9602291  0.00000376 0.0000455   0.016  52201.3 47640.2 54903.8   1175  11531
ICRF J010838.7+013500  0106+013     01 08 38.77110945   01 35 00.3173261  0.00003602 0.0005294   0.000  49677.4 44446.9 54907.9   1594  37672
ICRF J010915.4-604948  0107-610  D  01 09 15.47520598  -60 49 48.4599686  0.00001744 0.0001750   0.108  53933.9 52780.7 54726.7     24    102
ICRF J011137.3+390628  0108+388     01 11 37.31677543   39 06 28.1038332  0.00000705 0.0001018   0.064  50865.7 49099.7 53129.7      9    497
ICRF J011205.8+224438  0109+224  D  01 12 05.82471754   22 44 38.7863909  0.00000379 0.0000653  -0.007  51836.0 48434.7 54872.7     37   1851
ICRF J011218.9-663445  0110-668     01 12 18.91294900  -66 34 45.1876545  0.00003397 0.0003235   0.438  54065.1 53223.4 54706.7     14     43
ICRF J011327.0+494824  0110+495  D  01 13 27.00680344   49 48 24.0431742  0.00000597 0.0000727  -0.135  52989.4 49422.9 54781.7     20    759
ICRF J011343.1+022217  0111+021     01 13 43.14494950   02 22 17.3163553  0.00000342 0.0000629  -0.332  51625.1 47023.7 54865.7    249   3195
ICRF J011354.5+132452  0111+131     01 13 54.51036043   13 24 52.4779374  0.00005124 0.0008155  -0.072  53936.7 50156.3 54314.7      2     33
ICRF J011457.3-241944  0112-245     01 14 57.32646442  -24 19 44.6782839  0.00004598 0.0014560   0.307  54818.7 54818.7 54818.7      1     36
ICRF J011517.0-012704  0112-017     01 15 17.09995842  -01 27 04.5771667  0.00000494 0.0001110  -0.491  50213.9 47278.8 52340.7     63    517
ICRF J011523.8-280455  0113-283     01 15 23.88362096  -28 04 55.2236573  0.00002148 0.0005635  -0.174  51274.3 50688.3 54643.7      2     81
ICRF J011612.5-113615  0113-118     01 16 12.52201569  -11 36 15.4343096  0.00000502 0.0001355  -0.364  50957.6 47176.5 53503.7     36    496
ICRF J011748.7-211106  0115-214     01 17 48.78012894  -21 11 06.6330095  0.00000644 0.0001296  -0.089  52829.6 50632.3 54901.7     12    397
ICRF J011857.2-214130  0116-219  D  01 18 57.26216666  -21 41 30.1399986  0.00000683 0.0001138  -0.058  52128.2 50632.3 54768.6     19    289
ICRF J011935.0+321050  0116+319     01 19 35.00346907   32 10 50.0583319  0.00029808 0.0035012  -0.380  51365.0 48787.9 54440.7      6     25
ICRF J012031.6-270124  0118-272     01 20 31.66336979  -27 01 24.6525053  0.00000964 0.0001831  -0.268  52167.6 49650.8 54684.7     30    360
ICRF J012141.5+114950  0119+115  D  01 21 41.59504339   11 49 50.4131012  0.00000279 0.0000429  -0.018  52622.1 47394.1 54901.7   1151  36167
ICRF J012156.8+042224  0119+041     01 21 56.86169956   04 22 24.7343340  0.00000277 0.0000433  -0.037  49896.8 46977.9 54844.7   1706  43604
ICRF J012238.8+250231  0119+247     01 22 38.81598841   25 02 31.7928347  0.00001013 0.0002578  -0.050  50657.4 50219.8 53306.8      3     94
ICRF J012425.8+561851  0121+560     01 24 25.82700660   56 18 51.9175106  0.00008694 0.0010764   0.317  50277.8 49577.0 54482.7      2     49
ICRF J012457.3-511316  0122-514     01 24 57.39146872  -51 13 16.1674400  0.00001930 0.0002844   0.425  54103.7 53382.7 54726.7      9     48
ICRF J012528.8-000555  0122-003     01 25 28.84381760  -00 05 55.9317692  0.00000924 0.0002871  -0.257  50913.2 50576.2 53609.2      2     81
ICRF J012633.8-151834  0124-155     01 26 33.89073340  -15 18 34.1168187  0.00001846 0.0005962   0.004  54657.8 54657.8 54657.8      1     59
ICRF J012642.7+255901  0123+257     01 26 42.79264015   25 59 01.3001582  0.00000406 0.0000772  -0.076  52132.0 48378.8 54643.7     24   1264
ICRF J012830.5+630629  0125+628     01 28 30.56509504   63 06 29.8824504  0.00008614 0.0003934  -0.242  53978.7 53978.7 53978.7      1     81
ICRF J013027.6+084246  0127+084     01 30 27.63444929   08 42 46.1722245  0.00001807 0.0006003  -0.300  50203.2 49914.7 51927.8      5     97
ICRF J013243.4-165448  0130-171     01 32 43.48746261  -16 54 48.5218416  0.00000633 0.0000955  -0.039  52224.5 50632.3 54741.8     36    457
ICRF J013305.7-520003  0131-522  D  01 33 05.76255607  -52 00 03.9457209  0.00001218 0.0001605   0.251  52621.9 48162.4 54901.7     28    126
ICRF J013435.6-093102  0132-097     01 34 35.66662046  -09 31 02.8787711  0.00008811 0.0018082   0.725  53702.2 52409.7 54440.7      2     22
ICRF J013658.5+475129  0133+476  D  01 36 58.59480585   47 51 29.1000445  0.00000407 0.0000414   0.014  52890.7 44343.6 54907.7   1307 117353
ICRF J013708.7+312235  0134+311  D  01 37 08.73362970   31 22 35.8553611  0.00000553 0.0001012   0.044  53105.6 50219.8 54901.7     13    550
