% Translation table between IERS and IVS (common) names of sources
% Based on a substitution table from Zinovy Malkin, and NASA GFSC sked's source position catalog
% created by Hana Krásná on 15 Oct 2012
% Last change:
% 2014-09-04
% IERS     IVS
 0001-120  0001-121
 0002+051  UM18    
 0007+106  IIIZW2  
 0014+813  S5      
 0017+590  UG00192 
 0019-000  4C+00.02
 0024+348  OB338   
 0025+347  0025+345
 0045-255  NGC0253 
 0046+316  NGC0262 
 0055+300  NGC0315 
 0106+013  4C01.02 
 0134+329  3C48    
 0202+149  4C+15.05
 0206+353  UGC01651
 0210+859  0210+86A
 0218+357  0218+35A
 0218+358  0218+35B
 0220+427  UG01841 
 0223+616  W3      
 0224+671  4C67.05 
 0235+164  OD160   
 0236+610  LSI61303
 0238-084  NGC1052 
 0240-002  M77     
 0258+350  NGC1167 
 0304+407  ALGOL   
 0305+039  NGC1218 
 0316+162  CTA21   
 0316+413  3C84    
 0323+285  UXARI   
 0325+023  UGC02748
 0326+277  0326+278
 0329+544  PSR0329 
 0333+321  NRAO140 
 0334+004  HR1099  
 0336-019  CTA26   
 0340+048  0340+044
 0355+508  NRAO150 
 0405+304  0405+305
 0428+205  OF247   
 0429+415  3C119   
 0430+052  3C120   
 0440-003  NRAO190 
 0459-753  HD32918 
 0518+165  3C138   
 0528+134  OG147   
 0528-654  HD36705 
 0529+576  0528+576
 0538+498  3C147   
 0539-848  HD39780 
 0543-735  0542-735
 0548+377  0548+37A
 0549-074  NGC2110 
 0552+398  DA193   
 0609+710  MRK003  
 0610+782  0610+783
 0610+783  NGC2146 
 0621-786  0621-787
 0623+766  0623+76A
 0626+154  0626+155
 0633-263  0633-26A
 0633-26B  0633-264    
 0642+214  3C166   
 0711+356  OI318   
 0718+792  0718+793
 0720-256  VY_CAMAJ
 0733+597  UG03927 
 0734+804  0734+80A
 0738+313  OI363   
 0739+399  0739+39A
 0744+559  DA240   
 0755+379  NGC2484 
 0831-445  VELA-G  
 0833-450  VELA    
 0838+325  4C+32.26
 0851+202  OJ287   
 0919-260  OK-232  
 0923+392  4C39.25 
 0943-140  NGC2992 
 0951+692  SN1993J 
 0951+693  M81     
 0951+699  M82     
 0953+254  OK290   
 0954+556  4C55.17 
 0958+559  NGC3079 
 1003+351  3C236   
 1014+615  1013+615
 1038+528  1038+52A
 1038+529  1038+52B
 1040+123  3C245   
 1109+357  NGC3569 
 1125+588  NGC3690 
 1133+704  MRK180  
 1134-739  1133-739
 1141+545  1144+542
 1142+198  NGC3862 
 1146+596  NGC3894 
 1155+557  NGC3998 
 1208+396  NGC4151 
 1216+061  NGC4261 
 1216+475  M106    
 1217+295  NGC4278 
 1222+131  M84     
 1226+023  3C273B  
 1228+126  3C274   
 1233+128  NGC4552 
 1235-570  1234-567
 1237-113  M104    
 1245-457  1245-454
 1253-055  3C 279  
 1253-055  3C279   
 1308+326  OP313   
 1315+346  OP 326  
 1315+346  OP326   
 1316-123  NGC5077 
 1322+366  NGC5141 
 1322-427  CEN-A   
 1325+256  3C287   
 1326-697  1326-698
 1328+254  3C287   
 1328+254  3C287.0 
 1328+307  3C286   
 1337+807  1337+80A
 1352-104  1349-101  
 1404+286  OQ208   
 1418-782  1417-782
 1420-724  1420-725
 1425+267  TON202  
 1426+276  NGC5635 
 1430+365  NGC5675 
 1442+101  OQ172   
 1458+718  3C309.1 
 1458-083  HD132742
 1511+238  4C23.41 
 1533-652  1533-653
 1600+431  1600+43B
 1600+432  1600+43A
 1601+173  NGC6034 
 1607+268  CTD93   
 1611+343  DA406   
 1612+339  SIGCRB  
 1616+852  1616+85A
 1626+396  NGC6166 
 1633+382  1633+38 
 1634+628  3C343   
 1637+626  3C343.1 
 1637+826  1636+826
 1637+826  NGC6251 
 1638+398  NRAO512 
 1641+399  3C345   
 1650+024  NGC6240 
 1652+398  DA426   
 1708+772  1708+77A
 1730-130  NRAO530 
 1739+522  4C51.37 
 1742-289  SGR-A   
 1744+557  NGC6454 
 1746+470  1746+469
 1753+183  NGC6500 
 1807+698  3C371   
 1828+487  3C380   
 1830+011  LANA    
 1830-210  1830-21B
 1830-212  1830-21A
 1845+797  1845+79A
 1845+797  3C390.3 
 1845+798  1845+79B
 1856+737  1856+736
 1901+319  3C395   
 1909+048  SS433   
 1910+014  NAQL93  
 1911+808  1911+80A
 1951+849  1950+84A
 1957+405  CYG_A   
 1957+406  CYGNUS-A
 2005-070  2008-068
 2008-068  OW-015  
 2015-272  2015-274
 2017+745  2017+743
 2023+335  2023+336
 2030+407  CYG_X-3 
 2033+598  NGC6946 
 2037+421  DR21    
 2037+511  3C418   
 2043+747  2043+74B
 2043+748  2043+74A
 2043+749  2043+748
 2048+312  CL4     
 2118+748  2118+74A
 2134+004  2134+00 
 2145+067  4C06.69 
 2147+068  2147+066
 2149-307  2149-306
 2200+420  VR422201
 2201+315  4C31.63 
 2223-052  3C446   
 2229+391  3C449   
 2230+114  CTA102  
 2234+282  CTD135  
 2250+190  2250+194
 2251+158  3C454.3 
 2252-090  2252-089
 2259-375  2259-374
 2320+751  2321+751
 2335+267  NGC7720 
 2344+092  2344+09A
