## Master file format version 1.0           2001.08.21 CCT&NRV

                    2005 MULTI-AGENCY INTENSIVES SCHEDULE

                     Last Updated - May 22, 2007 - CCT


  SESSION      SESSION DATE  DOY TIME DUR        STATIONS      
   SKED CORR STATUS  PF  DBC SUBM DEL  MK4
    NAME        CODE   mondd ddd hh:mm hr                                                      yymondd     CODE     days NUM
------------------------------------------------------------------------------------------------------------------------------
|IN205-002     |K05002|JAN02|  2|07:30|1  |TsWz                                     |BONN|GSI |       |    |XK|GSI |   0|    |
|IN105-004     |I05004|JAN04|  4|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN105-005     |I05005|JAN05|  5|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN105-007     |I05007|JAN07|  7|19:00|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN205-008     |K05008|JAN08|  8|07:30|1  |TsWz                                     |BONN|GSI |       |    |XK|GSI |   0|    |
|IN205-009     |K05009|JAN09|  9|07:30|1  |TsWz                                     |BONN|GSI |       |    |XK|GSI |   0|    |
|IN105-010     |I05010|JAN10| 10|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN105-012     |I05012|JAN12| 12|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN105-013     |I05013|JAN13| 13|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN105-014     |I05014|JAN14| 14|19:00|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN205-015     |K05015|JAN15| 15|07:30|1  |TsWz                                     |BONN|GSI |       |    |XK|GSI |   0|    |
|IN205-016     |K05016|JAN16| 16|07:30|1  |TsWz                                     |BONN|GSI |       |    |XK|GSI |   0|    |
|IN105-019     |I05019|JAN19| 19|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN105-020     |I05020|JAN20| 20|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN105-021     |I05021|JAN21| 21|19:00|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN205-022     |K05022|JAN22| 22|07:30|1  |TsWz                                     |BONN|GSI |       |    |XK|GSI |   0|    |
|IN205-023     |K05023|JAN23| 23|07:30|1  |TsWz                                     |BONN|GSI |       |    |XK|GSI |   0|    |
|IN105-024     |I05024|JAN24| 24|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN105-025     |I05025|JAN25| 25|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN105-026     |I05026|JAN26| 26|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN105-027     |I05027|JAN27| 27|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN105-028     |I05028|JAN28| 28|19:00|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN205-029     |K05029|JAN29| 29|07:30|1  |TsWz                                     |BONN|GSI |       |    |XK|GSI |   0|    |
|IN205-030     |K05030|JAN30| 30|07:30|1  |TsWz                                     |BONN|GSI |       |    |XK|GSI |   0|    |
|IN105-031     |I05031|JAN31| 31|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
------------------------------------------------------------------------------------------------------------------
|IN105-032     |I05032|FEB01| 32|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN105-033     |I05033|FEB02| 33|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
