## Master file format version 1.0           2001.08.21 CCT&NRV

                    2016 MULTI-AGENCY INTENSIVES SCHEDULE

                     Last Updated - December 9, 2016 - CCT


  SESSION      SESSION DATE  DOY TIME DUR        STATIONS      
   SKED CORR STATUS  PF  DBC SUBM DEL  MK4
    NAME        CODE   mondd ddd hh:mm hr                                                      yymondd     CODE     days NUM
------------------------------------------------------------------------------------------------------------------------------
|IN216-002     |K16002|JAN02|  2|07:30|1  |TsWz                                     |BKG |GSI |       |    |XK|GSI |   0|    |
|IN216-003     |K16003|JAN03|  3|07:30|1  |TsWz                                     |BKG |GSI |       |    |XK|GSI |   0|    |
|IN316-004     |K16004|JAN04|  4|07:00|1  |NyTsWnWz                                 |BONN|BONN|       |    |XK|NASA|   0|    |
|IN116-004     |I16004|JAN04|  4|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN116-005     |I16005|JAN05|  5|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN116-007     |I16007|JAN07|  7|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN116-008     |I16008|JAN08|  8|18:45|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN216-009     |K16009|JAN09|  9|07:30|1  |TsWz                                     |BKG |GSI |       |    |XK|GSI |   0|    |
|IN216-010     |K16010|JAN10| 10|07:30|1  |TsWz                                     |BKG |GSI |       |    |XK|GSI |   0|    |
|IN316-011     |K16011|JAN11| 11|07:00|1  |NyTsWnWz                                 |BONN|BONN|       |    |XK|NASA|   0|    |
|IN116-011     |I16011|JAN11| 11|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN116-012     |I16012|JAN12| 12|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN116-013     |I16013|JAN13| 13|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN116-014     |I16014|JAN14| 14|18:30|1  |KkSvWz                                   |USNO|WASH|       |    |XU|NASA|   0|    |
|IN116-015     |I16015|JAN15| 15|18:45|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN216-016     |K16016|JAN16| 16|07:30|1  |TsWz                                     |BKG |GSI |       |    |XK|GSI |   0|    |
|IN216-017     |K16017|JAN17| 17|07:30|1  |TsWz                                     |BKG |GSI |       |    |XK|GSI |   0|    |
|IN316-018     |K16018|JAN18| 18|07:00|1  |NyTsWnWz                                 |BONN|BONN|       |    |XK|NASA|   0|    |
|IN116-019     |I16019|JAN19| 19|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN116-020     |I16020|JAN20| 20|16:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN116-021     |I16021|JAN21| 21|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN116-022     |I16022|JAN22| 22|18:45|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN216-023     |K16023|JAN23| 23|07:30|1  |TsWz                                     |BKG |GSI |       |    |XK|GSI |   0|    |
|IN216-024     |K16024|JAN24| 24|07:30|1  |TsWz                                     |BKG |GSI |       |    |XK|GSI |   0|    |
|IN316-025     |K16025|JAN25| 25|07:00|1  |NyTsWnWz                                 |BONN|BONN|       |    |XK|NASA|   0|    |
|IN116-025     |I16025|JAN25| 25|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN116-026     |I16026|JAN26| 26|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN116-027     |I16027|JAN27| 27|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN116-028     |I16028|JAN28| 28|18:30|1  |KkSvWz                                   |USNO|WASH|       |    |XU|NASA|   0|    |
|IN116-029     |I16029|JAN29| 29|18:45|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN216-030     |K16030|JAN30| 30|07:30|1  |TsWz                                     |BKG |GSI |       |    |XK|GSI |   0|    |
|IN216-031     |K16031|JAN31| 31|07:30|1  |TsWz                                     |BKG |GSI |       |    |XK|GSI |   0|    |
------------------------------------------------------------------------------------------------------------------
|IN316-032     |K16032|FEB01| 32|07:00|1  |NyTsWnWz                                 |BONN|BONN|       |    |XK|NASA|   0|    |
|IN116-032     |I16032|FEB01| 32|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN116-033     |I16033|FEB02| 33|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN116-035     |I16035|FEB04| 35|18:30|1  |KkSvWz                                   |USNO|WASH|       |    |XU|NASA|   0|    |
|IN116-036     |I16036|FEB05| 36|18:45|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN216-037     |K16037|FEB06| 37|07:30|1  |TsWz                                     |BKG |GSI |       |    |XK|GSI |   0|    |
|IN216-038     |K16038|FEB07| 38|07:30|1  |TsWz                                     |BKG |GSI |       |    |XK|GSI |   0|    |
|IN316-039     |K16039|FEB08| 39|07:00|1  |NyTsWnWz                                 |BONN|BONN|       |    |XK|NASA|   0|    |
|IN116-039     |I16039|FEB08| 39|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN116-040     |I16040|FEB09| 40|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN116-041     |I16041|FEB10| 41|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN116-042     |I16042|FEB11| 42|18:30|1  |KkSvWz                                   |USNO|WASH|       |    |XU|NASA|   0|    |
|IN116-043     |I16043|FEB12| 43|18:45|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN216-044     |K16044|FEB13| 44|07:30|1  |TsWz                                     |BKG |GSI |       |    |XK|GSI |   0|    |
|IN216-045     |K16045|FEB14| 45|07:30|1  |TsWz                                     |BKG |GSI |       |    |XK|GSI |   0|    |
|IN316-046     |K16046|FEB15| 46|07:00|1  |NyTsWnWz                                 |BONN|BONN|       |    |XK|NASA|   0|    |
|IN116-046     |I16046|FEB15| 46|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN116-047     |I16047|FEB16| 47|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN116-048     |I16048|FEB17| 48|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN116-049     |I16049|FEB18| 49|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN116-050     |I16050|FEB19| 50|18:45|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN216-051     |K16051|FEB20| 51|07:30|1  |TsWz                                     |BKG |GSI |       |    |XK|GSI |   0|    |
|IN216-052     |K16052|FEB21| 52|07:30|1  |TsWz                                     |BKG |GSI |       |    |XK|GSI |   0|    |
|IN316-053     |K16053|FEB22| 53|07:00|1  |NyTsWnWz                                 |BONN|BONN|       |    |XK|NASA|   0|    |
|IN116-053     |I16053|FEB22| 53|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN116-054     |I16054|FEB23| 54|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN116-055     |I16055|FEB24| 55|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN116-056     |I16056|FEB25| 56|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN116-057     |I16057|FEB26| 57|18:45|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN216-058     |K16058|FEB27| 58|07:30|1  |TsWz                                     |BKG |GSI |       |    |XK|GSI |   0|    |
|IN216-059     |K16059|FEB28| 59|07:30|1  |TsWz                                     |BKG |GSI |       |    |XK|GSI |   0|    |
|IN316-060     |K16060|FEB29| 60|07:00|1  |NyTsWnWz                                 |BONN|BONN|       |    |XK|NASA|   0|    |
|IN116-060     |I16060|FEB29| 60|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
------------------------------------------------------------------------------------------------------------------
|IN116-061     |I16061|MAR01| 61|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN116-063     |I16063|MAR03| 63|18:30|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN116-064     |I16064|MAR04| 64|18:45|1  |KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN216-065     |K16065|MAR05| 65|07:30|1  |TsWz                                     |BKG |GSI |       |    |XK|GSI |   0|    |
|IN216-066     |K16066|MAR06| 66|07:30|1  |TsWz                                     |BKG |GSI |       |    |XK|GSI |   0|    |
|IN316-067     |K16067|MAR07| 67|07:00|1  |NyTsWnWz                                 |BONN|BONN|       |    |XK|NASA|   0|    |
