## Master file format version 1.0           2001.08.21 CCT&NRV

                         1987 MULTI-AGENCY SCHEDULE

                     Last Updated - June 25, 2002 - CCT


  SESSION  SESSION DATE  DOY TIME  DUR       STATIONS               SKED CORR STATUS  PF   DBC  SUBM  DEL  MK4
    NAME     CODE  mondd ddd hh:mm hr                                         yymondd      CODE       days NUM
----------------------------------------------------------------------------------------------------------------
|INT87-001 |I87001|JAN01|1  |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A371 |IA371 |JAN03|3  |     |  |WfHrWzRi                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT87-004 |I87004|JAN04|4  |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-005 |I87005|JAN05|5  |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-006 |I87006|JAN06|6  |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-007 |I87007|JAN07|7  |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A372 |IA372 |JAN08|8  |     |  |WfWzHrRi                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT87-011 |I87011|JAN11|11 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-012 |I87012|JAN12|12 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A373 |IA373 |JAN13|13 |     |  |WfWzHr                       |NOAA|WASH|       |    |XI  |NASA|     |    |
|ATD-1     |ATD871|JAN14|14 |     |  |GcWfMoHr                     |NASA|HAYS|       |    |X   |NASA|     |    |
|INT87-014 |I87014|JAN14|14 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-015 |I87015|JAN15|15 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-016 |I87016|JAN16|16 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-017 |I87017|JAN17|17 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A374 |IA374 |JAN18|18 |     |  |WfHrWz                       |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT87-019 |I87019|JAN19|19 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-S07  |IS8707|JAN19|19 |     |  |OnHhWf                       |NOAA|BONN|       |    |XH  |NASA|     |    |
|TRANS-PAC1|XPC871|JAN20|20 |     |  |GcKaKu                       |NASA|HAYS|       |    |X   |NASA|     |    |
|INT87-021 |I87021|JAN21|21 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-022 |I87022|JAN22|22 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A375 |IA375 |JAN23|23 |     |  |WfWzHrRi                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT87-024 |I87024|JAN24|24 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-025 |I87025|JAN25|25 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-026 |I87026|JAN26|26 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-027 |I87027|JAN27|27 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A376 |IA376 |JAN28|28 |     |  |WfHrWzRi                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|CDP-87A   |CDP87A|JAN28|28 |     |  |MoPbVb                       |NASA|HAYS|       |    |X   |NASA|     |    |
|IRIS-S08  |IS8708|JAN29|29 |     |  |HhWzWfRi                     |NOAA|BONN|       |    |XH  |NASA|     |    |
|INT87-031 |I87031|JAN31|31 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|CDP-87B   |CDP87B|JAN31|31 |     |  |MoVbPn                       |NASA|HAYS|       |    |X   |NASA|     |    |
----------------------------------------------------------------------------------------------------------------
|INT87-032 |I87032|FEB01|32 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A377 |IA377 |FEB02|33 |     |  |WfRiWz                       |NOAA|WASH|       |    |XI  |NASA|     |    |
|TRANS-ATL1|XAT871|FEB03|34 |     |  |OnWfWz                       |NASA|HAYS|       |    |XA  |NASA|     |    |
|INT87-034 |I87034|FEB03|34 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|CDP-87C   |CDP87C|FEB03|34 |     |  |MoPrHcBbVb                   |NASA|HAYS|       |    |X   |NASA|     |    |
|INT87-035 |I87035|FEB04|35 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-S09  |IS8709|FEB04|35 |     |  |WfRiOnHh                     |NOAA|BONN|       |    |XH  |NASA|     |    |
|INT87-037 |I87037|FEB06|37 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|CDP-87D   |CDP87D|FEB06|37 |     |  |PfHcHrVbMoYu                 |NASA|HAYS|       |    |X   |NASA|     |    |
|IRIS-A378 |IA378 |FEB07|38 |     |  |HrWzWf                       |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT87-038 |I87038|FEB07|38 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-S10  |IS8710|FEB08|39 |     |  |HhWzWfRi                     |NOAA|BONN|       |    |XH  |NASA|     |    |
|CDP-87E   |CDP87E|FEB09|40 |     |  |MoFoVbHcMeHr                 |NASA|HAYS|       |    |X   |NASA|     |    |
|INT87-041 |I87041|FEB10|41 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-042 |I87042|FEB11|42 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A379 |IA379 |FEB12|43 |     |  |WfHrWz                       |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT87-043 |I87043|FEB12|43 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|ASTROM-S1 |AS87S1|FEB13|44 |     |  |RiWzHhWf                     |NASA|HAYS|       |    |XA  |NASA|     |    |
|INT87-045 |I87045|FEB14|45 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-046 |I87046|FEB15|46 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-047 |I87047|FEB16|47 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|TRANS-PAC2|XPC872|FEB17|48 |     |  |GcKaKu                       |NASA|HAYS|       |    |X   |NASA|     |    |
|IRIS-A380 |IA380 |FEB17|48 |     |  |WfWzRiHr                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT87-048 |I87048|FEB17|48 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-S11  |IS8711|FEB18|49 |     |  |RiHrWfHhWz                   |NOAA|BONN|       |    |XH  |NASA|     |    |
|INT87-051 |I87051|FEB20|51 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
