## Master file format version 1.0           2001.08.21 CCT&NRV

                         1988 MULTI-AGENCY SCHEDULE

                     Last Updated - April 13, 2006 - CCT


  SESSION  SESSION DATE  DOY TIME  DUR       STATIONS               SKED CORR STATUS  PF   DBC  SUBM  DEL  MK4
    NAME     CODE  mondd ddd hh:mm hr                                         yymondd      CODE       days NUM
----------------------------------------------------------------------------------------------------------------
|INT88-001 |I88001|JAN01|1  |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-002 |I88002|JAN02|2  |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A444 |IA444 |JAN03|3  |     |  |HrRiWfWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|ASTROM-3  |AST883|JAN04|4  |     |  |GcHsMo                       |NASA|WASH|       |    |XA  |NASA|     |    |
|INT88-004 |I88004|JAN04|4  |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|SOUTH-1   |STH881|JAN04|4  |     |  |45Hh                         |NRL |WASH|       |    |XN  |NASA|     |    |
|INT88-005 |I88005|JAN05|5  |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-006 |I88006|JAN06|6  |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-007 |I88007|JAN07|7  |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-S15  |IS8815|JAN07|7  |     |  |HhRiWfWz                     |NOAA|BONN|       |    |XH  |NASA|     |    |
|IRIS-A445 |IA445 |JAN08|8  |     |  |HrRiWfWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT88-009 |I88009|JAN09|9  |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-010 |I88010|JAN10|10 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|SURVEY-S1 |SS881 |JAN10|10 |     |  |HhRiWfWz                     |NASA|HAYS|       |    |X   |NASA|     |    |
|INT88-011 |I88011|JAN11|11 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-012 |I88012|JAN12|12 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-S16  |IS8816|JAN12|12 |     |  |HhOnWf                       |NOAA|BONN|       |    |XH  |NASA|     |    |
|IRIS-A446 |IA446 |JAN13|13 |     |  |HrRiWfWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT88-014 |I88014|JAN14|14 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|SOUTH-2   |STH882|JAN14|14 |     |  |45Hh                         |NRL |WASH|       |    |XN  |NASA|     |    |
|INT88-015 |I88015|JAN15|15 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|SURVEY-S2 |SS882 |JAN15|15 |     |  |HhRiWfWz                     |NASA|HAYS|       |    |X   |NASA|     |    |
|INT88-016 |I88016|JAN16|16 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|PPM-E1    |PM88E1|JAN16|16 |     |  |GcKaKuMoVb                   |NASA|HAYS|       |    |X   |NASA|     |    |
|GNUT-28   |GN8828|JAN17|17 |     |  |KuMd                         |USNO|WASH|       |    |XO  |NASA|     |    |
|INT88-017 |I88017|JAN17|17 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-S17  |IS8817|JAN17|17 |     |  |HhRiWfWz                     |NOAA|BONN|       |    |XH  |NASA|     |    |
|IRIS-A447 |IA447 |JAN18|18 |     |  |HrRiWfWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT88-019 |I88019|JAN19|19 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-P10  |IP8810|JAN19|19 |     |  |GcHrKaRi                     |NOAA|HAYS|       |    |XP  |NASA|     |    |
|GNUT-29   |GN8829|JAN21|21 |     |  |GcMd                         |USNO|WASH|       |    |XO  |NASA|     |    |
|INT88-022 |I88022|JAN22|22 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-S18  |IS8818|JAN22|22 |     |  |HhRiWfWz                     |NOAA|BONN|       |    |XH  |NASA|     |    |
|IRIS-A448 |IA448 |JAN23|23 |     |  |HrRiWfWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT88-024 |I88024|JAN24|24 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-025 |I88025|JAN25|25 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-026 |I88026|JAN26|26 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|ATD-1     |ATD881|JAN27|27 |     |  |GcHrMoWf                     |NASA|HAYS|       |    |X   |NASA|     |    |
|INT88-027 |I88027|JAN27|27 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|GNUT-30   |GN8830|JAN28|28 |     |  |GcMd                         |USNO|WASH|       |    |XO  |NASA|     |    |
|IRIS-A449 |IA449 |JAN28|28 |     |  |HrRiWfWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT88-030 |I88030|JAN30|30 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-031 |I88031|JAN31|31 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
----------------------------------------------------------------------------------------------------------------
|INT88-032 |I88032|FEB01|32 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|CDP-88A   |CDP88A|FEB02|33 |     |  |DmJ1MoVb                     |NASA|HAYS|       |    |X   |NASA|     |    |
|IRIS-A450 |IA450 |FEB02|33 |     |  |HrOnRiWfWz                   |NOAA|WASH|       |    |XI  |NASA|     |    |
|W.ATL-1   |WAT881|FEB03|34 |     |  |HrMoOnWfWz                   |NASA|WASH|       |    |X   |NASA|     |    |
|INT88-035 |I88035|FEB04|35 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|CDP-88B   |CDP88B|FEB05|36 |     |  |MoPnPvVb                     |NASA|HAYS|       |    |X   |NASA|     |    |
|INT88-036 |I88036|FEB05|36 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|GNUT-31   |GN8831|FEB06|37 |     |  |GcRi                         |USNO|WASH|       |    |XO  |NASA|     |    |
|INT88-037 |I88037|FEB06|37 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A451 |IA451 |FEB07|38 |     |  |HrRiWfWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|CDP-88C   |CDP88C|FEB08|39 |     |  |MoPbSpVb                     |NASA|HAYS|       |    |X   |NASA|     |    |
|INT88-039 |I88039|FEB08|39 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|GSI-1     |GSI881|FEB09|40 |     |  |KaTk                         |GSI |GSI |       |    |DX  |NASA|     |    |
|GNUT-32   |GN8832|FEB10|41 |     |  |GcMdRi                       |USNO|WASH|       |    |XO  |NASA|     |    |
|INT88-041 |I88041|FEB10|41 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-042 |I88042|FEB11|42 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
