## Master file format version 1.0           2001.08.21 CCT&NRV

                         1989 MULTI-AGENCY SCHEDULE

                     Last Updated - November 14, 2003 - CCT


  SESSION  SESSION DATE  DOY TIME  DUR       STATIONS               SKED CORR STATUS  PF   DBC  SUBM  DEL  MK4
    NAME     CODE  mondd ddd hh:mm hr                                         yymondd      CODE       days NUM
----------------------------------------------------------------------------------------------------------------
|INT89-001 |I89001|JAN01|1  |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A517 |IA517 |JAN02|2  |     |  |HrRiWfWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT89-003 |I89003|JAN03|3  |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT89-004 |I89004|JAN04|4  |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT89-005 |I89005|JAN05|5  |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|NAVNET01  |NAVY01|JAN05|5  |     |  |GcMdRi                       |USNO|WASH|       |    |XO  |NASA|     |    |
|IRIS-A518 |IA518 |JAN07|7  |     |  |HrRiWfWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|NAVNET02  |NAVY02|JAN08|8  |     |  |GcKuMdRi                     |USNO|WASH|       |    |XO  |NASA|     |    |
|INT89-009 |I89009|JAN09|9  |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT89-010 |I89010|JAN10|10 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT89-011 |I89011|JAN11|11 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A519 |IA519 |JAN12|12 |     |  |HrRiWfWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|PPM-S1    |PM89S1|JAN13|13 |     |  |45GcKaKuSh                   |NASA|HAYS|       |    |X   |NASA|     |    |
|INT89-014 |I89014|JAN14|14 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|NAVNET03  |NAVY03|JAN14|14 |     |  |GcKuMdRi                     |USNO|WASH|       |    |XO  |NASA|     |    |
|INT89-015 |I89015|JAN15|15 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT89-016 |I89016|JAN16|16 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A520 |IA520 |JAN17|17 |     |  |HrOnRiWfWz                   |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT89-018 |I89018|JAN18|18 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|CDP-89A1  |CD89A1|JAN19|19 |     |  |HcHrMeMoVb                   |NASA|HAYS|       |    |X   |NASA|     |    |
|INT89-019 |I89019|JAN19|19 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|CDP-89A2  |CD89A2|JAN20|20 |     |  |HcHrMeMoVb                   |NASA|HAYS|       |    |X   |NASA|     |    |
|INT89-020 |I89020|JAN20|20 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT89-021 |I89021|JAN21|21 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A521 |IA521 |JAN22|22 |     |  |HrWfWz                       |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT89-023 |I89023|JAN23|23 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-P22  |IP8922|JAN23|23 |     |  |GcHrKa                       |NOAA|WASH|       |    |XP  |NASA|     |    |
|CDP-89B1  |CD89B1|JAN24|24 |     |  |HcMoPvVb                     |NASA|HAYS|       |    |X   |NASA|     |    |
|INT89-024 |I89024|JAN24|24 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|CDP-89B1  |CD89B2|JAN25|25 |     |  |HcMoPvVb                     |NASA|HAYS|       |    |X   |NASA|     |    |
|INT89-025 |I89025|JAN25|25 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT89-026 |I89026|JAN26|26 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|REFRAME-18|FR8918|JAN26|26 |     |  |GcHcMd                       |NRL |WASH|       |    |XN  |NASA|     |    |
|IRIS-A522 |IA522 |JAN27|27 |     |  |HrWfWz                       |NOAA|WASH|       |    |XI  |NASA|     |    |
|CDP-89C1  |CD89C1|JAN28|28 |     |  |HcMoSpVb                     |NASA|HAYS|       |    |X   |NASA|     |    |
|INT89-028 |I89028|JAN28|28 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|CDP-89C2  |CD89C2|JAN29|29 |     |  |HcMoSpVb                     |NASA|HAYS|       |    |X   |NASA|     |    |
|INT89-029 |I89029|JAN29|29 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT89-030 |I89030|JAN30|30 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
----------------------------------------------------------------------------------------------------------------
|IRIS-A523 |IA523 |FEB01|32 |     |  |HrWfWz                       |NOAA|WASH|       |    |XI  |NASA|     |    |
|CDP-89D1  |CD89D1|FEB02|33 |     |  |FsGcMoVb                     |NASA|HAYS|       |    |X   |NASA|     |    |
|INT89-033 |I89033|FEB02|33 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-S19  |IS8919|FEB02|33 |     |  |HhHrMcWf                     |NOAA|BONN|       |    |XH  |NASA|     |    |
|CDP-89D2  |CD89D2|FEB03|34 |     |  |FsGcHcMoVb                   |NASA|HAYS|       |    |X   |NASA|     |    |
|INT89-034 |I89034|FEB03|34 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT89-035 |I89035|FEB04|35 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|REFRAME-19|FR8919|FEB04|35 |     |  |GcHc                         |NRL |WASH|       |    |XN  |NASA|     |    |
|DSN-1     |DSN891|FEB05|36 |     |  |14Ro                         |JPL |HAYS|       |    |D   |NASA|     |    |
