# station name	Cn	H	vn	ve	wzd0	dhseg	dh	ASD   @	wn
GILCREEK	0.98	2000	-2.72	-12.24	250	2	200	1e-14	50	999
KOKEE   	1.78	2000	 7.95	  8.71	250	2	200	1e-14	50	999
SVETLOE 	1.55	2000	11.12	 -1.3		250	2	200	1e-14	50	999
WETTZELL	1.80	2000	 7.25	 -7.47	250	2	200	1e-14	50	999
WESTFORD	3.67	2000	 6.01	-10.45	250	2	200	1e-14	50	999
NYALES20	0.95	2000	 3.02	  1.97	250	2	200	1e-14	50	999
TSUKUB32	2.30	2000	10.6	 -0.3		250	2	200	1e-14	50	999
HARTRAO 	1.47	2000	 7.6	 -5.56	250	2	200	1e-14	50	999
TIGOCONC	1.52	2000	 8.93	 -2.94	250	2	200	1e-14	50	999
ONSALA60	2.09	2000	 2.57	 12.49	250	2	200	1e-14	50	999
ALGOPARK	3.37	2000	-2.32	  9.91	250	2	200	1e-14	50	999
