# station name	Cn	H		vn			ve		wzd0	dhseg	dh	ASD   	@	wn	wn_sat
BADARY   	1.37	2000	00.00	  	8.00	250		2		200	1e-14	50	32	50	
TSUKUB32 	3.45	2000	00.00	  	8.00	250		2		200	1e-14	50	32	50	
KOKEE   	1.39	2000	00.00	  	8.00	250		2		200	1e-14	50	32	50	
NYALES20 	0.65	2000	00.00	  	8.00	250		2		200	1e-14	50	32	50	
HOBART12  	1.60	2000	00.00	  	8.00	250		2		200	1e-14	50	32	50	
FORTLEZA  	2.46	2000	00.00	  	8.00	250		2		200	1e-14	50	32	50	
YEBES40M  	1.48	2000	00.00	  	8.00	250		2		200	1e-14	50	32	50	
HARTRAO   	1.34	2000	00.00	  	8.00	250		2		200	1e-14	50	32	50	
TIGOCONC  	2.08	2000	00.00	  	8.00	250		2		200	1e-14	50	32	50	
WETTZELL  	1.50	2000	00.00	  	8.00	250		2		200	1e-14	50	32	50	
ZELENCHK 	1.86	2000	00.00	  	8.00	250		2		200	1e-14	50	32	50	
ONSALA60 	2.19	2000	00.00	  	8.00	250		2		200	1e-14	50	32	50	
WESTFORD 	2.30	2000	00.00	  	8.00	250		2		200	1e-14	50	32	50	
HOBART26  	1.60	2000	00.00	  	8.00	250		2		200	1e-14	50	32	50	
CEDUNA    	1.60	2000	00.00	  	8.00	250		2		200	1e-14	50	32	50	
KATH12M  	1.60	2000	00.00	  	8.00	250		2		200	1e-14	50	32	50	
YARRA12M 	1.60	2000	00.00	  	8.00	250		2		200	1e-14	50	32	50	
