$$ VTRF2005
$$
$$ Due to a transient post-quake behaviour of GILCREEK, this station is treated
$$ in a different way then the others !!!
$$ The position of GILCREEK is modeled to be piece-wise linear. For this
$$ reason only the coordinates of the reference epoch of the first "leg" 
$$ (1979.0.101. - 2002.11.02) are referred to 1997.0.
$$ The coordinates of each start of the linear "legs" are referred to the 
$$ respective epoch!!
$$ Coordinates of an arbitrary observing epoch can, thus, be computed 
$$ using the respective period with its coordinates at the reference epoch 
$$ and the respective velocity.
$$ 
$$ changed the line MIURA_00 added the date please recheck, Jörg Wresnik
$$  
$$            X/Vx           Y/Vy          Z/Vz               Sigmas
GILCREEK -2281547.3060 -1453645.0840  5756993.1585   0.0010   0.0009   0.0004  Ref. epoch 1997.0
               -0.0221       -0.0037       -0.0094   0.0003   0.0003   0.0001  valid 1979.01.01 - 2002.11.02
GILCREEK -2281547.4662 -1453645.1530  5756993.0919   0.0020   0.0020   0.0020  Ref. epoch 2002.11.03 
               -0.0371       -0.0291       -0.0226   0.0006   0.0006   0.0006  valid 2002.11.03 - 2003.01.30
GILCREEK -2281547.4754 -1453645.1602  5756993.0863   0.0020   0.0020   0.0020  Ref. Epoch 2003.01.31
               -0.0316       -0.0214       -0.0185   0.0006   0.0006   0.0006  valid 2003.01.31 - 2003.04.29
GILCREEK -2281547.4830 -1453645.1654  5756993.0818   0.0020   0.0020   0.0020  Ref. Epoch 2003.04.30
               -0.0273       -0.0151       -0.0152   0.0005   0.0005   0.0005  valid 2003.04.30 - 2003.10.11
GILCREEK -2281547.4931 -1453645.1709  5756993.0762   0.0020   0.0020   0.0020  Ref. Epoch 2003.10.12
               -0.0242       -0.0097       -0.0126   0.0004   0.0004   0.0004  valid 2003.10.12 - 2004.03.09
GILCREEK -2281547.5050 -1453645.1757  5756993.0700   0.0020   0.0020   0.0020  Ref. Epoch 2003.03.10
               -0.0224       -0.0060       -0.0110   0.0004   0.0004   0.0004  valid 2004.03.10 - 2004.12.04
GILCREEK -2281547.5215 -1453645.1802  5756993.0619   0.0020   0.0020   0.0020  Ref. Epoch 2004.12.05
               -0.0222       -0.0038       -0.0101   0.0004   0.0004   0.0004  valid 2004.12.05 - 2006.12.04
GILCREEK -2281547.5648 -1453645.1877  5756993.0416   0.0020   0.0020   0.0020  Ref. Epoch 2006.12.05 
               -0.0221       -0.0037       -0.0094   0.0003   0.0003   0.0001  valid 2006.12.05 - 2010.31.12
$$
$$ VTRF2005, epoch 1997.0
$$ Sites with episodic motions have the year of the displacement
$$ encoded in the last two characters of their name
$$ These coordinates are then also referred to 1997.0
$$            X/Vx           Y/Vy          Z/Vz               Sigmas
ALGOPARK   918034.7423 -4346132.2707  4561971.1661   0.0004   0.0012   0.0014
               -0.0162       -0.0034        0.0022   0.0001   0.0002   0.0002
FORTLEZA  4985370.0440 -3955020.3267  -428472.2857   0.0009   0.0009   0.0007
               -0.0023       -0.0038        0.0118   0.0002   0.0001   0.0001
GILCREEK -2281547.3060 -1453645.0840  5756993.1585   0.0010   0.0009   0.0004
               -0.0221       -0.0037       -0.0094   0.0003   0.0003   0.0001
HARTRAO   5085442.7814  2668263.4894 -2768697.0120   0.0008   0.0013   0.0006
               -0.0013        0.0191        0.0160   0.0002   0.0002   0.0001
HOBART26 -3950236.7393  2522347.5647 -4311562.5407   0.0014   0.0007   0.0011
               -0.0389        0.0085        0.0403   0.0004   0.0002   0.0003
KOKEE    -5543837.6315 -2054567.8602  2387851.9406   0.0008   0.0004   0.0005
               -0.0095        0.0631        0.0305   0.0002   0.0001   0.0001
MATERA    4641938.7648  1393003.0157  4133325.5408   0.0008   0.0005   0.0009
               -0.0187        0.0193        0.0138   0.0002   0.0001   0.0002
NYALES20  1202462.7538   252734.3955  6237766.0422   0.0005   0.0005   0.0017
               -0.0150        0.0074        0.0081   0.0002   0.0001   0.0004
SESHAN25 -2831686.9147  4675733.6705  3275327.6930   0.0009   0.0011   0.0018
               -0.0305       -0.0115       -0.0128   0.0002   0.0003   0.0003
TSUKUB32 -3957408.7781  3310229.3860  3737494.8154   0.0013   0.0013   0.0019
               -0.0010        0.0060       -0.0073   0.0003   0.0003   0.0003
WESTFORD  1492206.5877 -4458130.5158  4296015.5390   0.0005   0.0003   0.0007
               -0.0158       -0.0011        0.0026   0.0001   0.0000   0.0001
WETTZELL  4075539.8811   931735.2611  4801629.3704   0.0007   0.0002   0.0010
               -0.0159        0.0172        0.0092   0.0001   0.0000   0.0002
AIRA     -3530219.3194  4118797.5727  3344015.8639   0.0041   0.0040   0.0039
               -0.0272       -0.0096       -0.0194   0.0008   0.0008   0.0008
AUSTINTX  -737793.8426 -5459892.2829  3202990.4322   0.0344   0.0260   0.0317
               -0.0117       -0.0001       -0.0089   0.0057   0.0038   0.0051
AZORES    4552174.6177 -2186664.6912  3882779.7951   0.0170   0.0204   0.0183
                0.0002        0.0163        0.0114   0.0033   0.0042   0.0037
BERMUDA   2307209.4602 -4874215.9336  3394318.0312   0.0337   0.0431   0.0384
               -0.0126       -0.0009        0.0069   0.0055   0.0061   0.0058
BLKBUTTE -2306307.0318 -4787914.3782  3515736.3468   0.0435   0.0877   0.0624
               -0.0159        0.0090       -0.0124   0.0071   0.0143   0.0102
BLOOMIND   302384.4051 -4941699.0706  4007908.5109   0.0420   0.0582   0.0503
               -0.0131        0.0011       -0.0012   0.0065   0.0079   0.0071
BR-VLBA  -2112064.9777 -3705356.5174  4726813.7947   0.0005   0.0008   0.0014
               -0.0146        0.0010       -0.0094   0.0001   0.0001   0.0002
BREST     4228877.0915  -333104.1807  4747181.0160   0.0256   0.0284   0.0237
               -0.0137        0.0181        0.0090   0.0043   0.0051   0.0039
CARNUSTY  3526416.3298  -171421.1942  5294098.8727   0.0267   0.0287   0.0228
               -0.0166        0.0043        0.0115   0.0045   0.0051   0.0036
CARROLGA   453520.5626 -5300506.7774  3507207.4556   0.0359   0.0440   0.0371
               -0.0143       -0.0010        0.0005   0.0058   0.0061   0.0057
CHICHI10 -4490618.4903  3483908.1779  2884899.1434   0.0046   0.0040   0.0039
                0.0243        0.0255        0.0085   0.0009   0.0008   0.0008
CHLBOLTN  4008310.0617  -100650.7439  4943794.8050   0.0434   0.0550   0.0356
               -0.0120        0.0185        0.0103   0.0063   0.0080   0.0051
CRIMEA    3785231.0617  2551207.4128  4439796.3789   0.0014   0.0007   0.0012
               -0.0199        0.0168        0.0100   0.0003   0.0002   0.0002
CTVASBAY  1091444.6626 -4351283.4962  4518706.9791   0.0121   0.0090   0.0087
               -0.0149       -0.0014        0.0025   0.0040   0.0030   0.0029
CTVASTJ   2612545.6872 -3426878.7736  4686756.0682   0.0113   0.0109   0.0088
               -0.0170        0.0005        0.0100   0.0021   0.0020   0.0016
DEADMANL -2336820.0033 -4732587.5054  3570330.3487   0.1353   0.2584   0.1809
               -0.0453       -0.0554        0.0356   0.0224   0.0429   0.0300
DSS15    -2353538.8399 -4641649.4862  3676669.9934   0.0079   0.0024   0.0024
               -0.0195        0.0062       -0.0036   0.0008   0.0007   0.0004
DSS15_92 -2353538.8427 -4641649.4785  3676669.9735   0.0006   0.0024   0.0024  920627
               -0.0186        0.0060       -0.0038   0.0001   0.0006   0.0006
DSS45    -4460935.3983  2682765.7107 -3674381.1907   0.0024   0.0020   0.0026
               -0.0367        0.0010        0.0439   0.0005   0.0003   0.0006
DSS65     4849336.6888  -360488.7914  4114748.8374   0.0017   0.0008   0.0022
               -0.0072        0.0193        0.0140   0.0003   0.0002   0.0004
DSS65_97  4849336.6908  -360488.7913  4114748.8287   0.0009   0.0003   0.0009  970415
               -0.0072        0.0192        0.0140   0.0002   0.0000   0.0002
EFLSBERG  4033947.4567   486990.5098  4900430.7979   0.0017   0.0004   0.0017
               -0.0149        0.0172        0.0086   0.0004   0.0001   0.0003
EFLSBE96  4033947.4767   486990.5153  4900430.8193   0.0008   0.0004   0.0008  961001
               -0.0149        0.0172        0.0086   0.0002   0.0001   0.0002
ELY      -2077236.4062 -4486712.7081  4018753.6838   0.0251   0.0538   0.0445
               -0.0180        0.0032       -0.0108   0.0042   0.0091   0.0075
FD-VLBA  -1324009.1289 -5332181.9665  3231962.4695   0.0005   0.0010   0.0014
               -0.0126        0.0003       -0.0064   0.0001   0.0001   0.0003
FLAGSTAF -1923992.7794 -4850854.6383  3658589.3214   0.0233   0.0558   0.0434
               -0.0186       -0.0090       -0.0024   0.0039   0.0093   0.0072
FORT_ORD -2697026.9703 -4354393.0727  3788077.8295   0.0320   0.0512   0.0441
               -0.0304        0.0286        0.0226   0.0052   0.0083   0.0072
FORTORDS -2699840.4688 -4359126.8615  3781051.1903   0.0274   0.0438   0.0375
               -0.0304        0.0286        0.0227   0.0047   0.0076   0.0065
FORTOR89 -2699840.4439 -4359126.8371  3781051.2305   0.0238   0.0381   0.0329  891001
               -0.0304        0.0286        0.0226   0.0044   0.0070   0.0060
FTD_7900 -1324228.1287 -5332062.8368  3232023.2739   0.0304   0.0216   0.0277
               -0.0299        0.0285        0.0233   0.0052   0.0034   0.0047
GBT-VLBA   882589.6410 -4924872.3243  3943729.3594   0.0023   0.0037   0.0032
               -0.0144       -0.0023        0.0029   0.0005   0.0006   0.0006
GGAO7108  1130794.7590 -4831233.8066  3994217.0390   0.0021   0.0032   0.0030
               -0.0153       -0.0002        0.0003   0.0005   0.0008   0.0007
GGAO7103  1130794.5213 -4831232.8609  3994216.2099   0.0038   0.0105   0.0088
               -0.0153       -0.0002        0.0003   0.0006   0.0015   0.0013
GIFU11   -3787123.3143  3564181.6908  3680275.0481   0.0061   0.0062   0.0067
               -0.0126       -0.0007       -0.0110   0.0011   0.0012   0.0013
GIFU3    -3787518.2242  3564247.1562  3679797.1971   0.0152   0.0146   0.0161
               -0.0094       -0.0025       -0.0061   0.0032   0.0030   0.0034
GILCRE02 -2281547.3435 -1453645.1400  5756993.1471   0.0299   0.0498   0.0238
               -0.0299       -0.0165       -0.0160   0.0070   0.0118   0.0059
GOLDVENU -2351129.1826 -4655477.0272  3660956.8817   0.0289   0.0348   0.0181
               -0.0128        0.0101       -0.0083   0.0053   0.0062   0.0031
GORF7102  1130686.5086 -4831353.0314  3994110.9309   0.0027   0.0063   0.0053
               -0.0153       -0.0002        0.0003   0.0005   0.0010   0.0009
GRASSE    4581697.6403   556125.7557  4389351.4586   0.0235   0.0282   0.0241
               -0.0134        0.0190        0.0105   0.0039   0.0051   0.0040
HALEAKAL -5465998.5482 -2404408.0254  2242228.7586   0.0148   0.0074   0.0075
               -0.0101        0.0641        0.0316   0.0020   0.0010   0.0011
