% Created on 22.03.2014 at 04:24:21 local time
% Hana Krasna, Vienna University of Technology
% station          x [m]           y [m]         z [m]            vx [m/y]    vy [m/y]    vz [m/y]      epoch   start    end 

ALGOPARK        918034.6976   -4346132.2840    4561971.1805        -0.0156     -0.0041      0.0041      51544       0   99999 
BADARY         -838200.7001    3865751.5579    4987670.9290        -0.0278      0.0002     -0.0015      51544       0   99999 
BR-VLBA       -2112065.0172   -3705356.5186    4726813.7747        -0.0142      0.0001     -0.0071      51544       0   99999 
CRIMEA         3785231.0016    2551207.4568    4439796.4092        -0.0207      0.0145      0.0093      51544       0   99999 
CTVASTJ        2612545.6338   -3426878.7431    4686756.0955        -0.0162     -0.0052      0.0105      51544       0   99999 
DSS15         -2353538.8943   -4641649.4443    3676669.9662        -0.0181      0.0059     -0.0023      51544       0   48800 
DSS15         -2353538.8931   -4641649.4623    3676669.9694        -0.0181      0.0059     -0.0023      51544   48800   99999 
DSS45         -4460935.5178    2682765.7047   -3674381.0603        -0.0369      0.0008      0.0450      51544       0   99999 
DSS65          4849336.6735    -360488.7402    4114748.8904        -0.0062      0.0186      0.0164      51544       0   50553 
DSS65          4849336.6685    -360488.7387    4114748.8733        -0.0062      0.0186      0.0164      51544   50553   99999 
FD-VLBA       -1324009.1609   -5332181.9613    3231962.4540        -0.0122      0.0001     -0.0044      51544       0   99999 
FORTLEZA       4985370.0360   -3955020.3436    -428472.2427        -0.0019     -0.0041      0.0125      51544       0   99999 
GGAO7108       1130794.7147   -4831233.7883    3994217.0236        -0.0148      0.0013     -0.0013      51544       0   52640 
GGAO7108       1130794.4869   -4831232.8965    3994216.2499        -0.0148      0.0013     -0.0013      51544   52640   99999 
GILCREEK      -2281547.3669   -1453645.0953    5756993.1354        -0.0211     -0.0037     -0.0070      51544       0   52581 
GILCREEK      -2281547.3331   -1453645.0403    5756993.2715        -0.0439     -0.0403     -0.0577      51544   52581   52669 
GILCREEK      -2281547.3581   -1453645.1283    5756993.0555        -0.0359     -0.0117      0.0119      51544   52669   52758 
GILCREEK      -2281547.4081   -1453645.1153    5756993.1285        -0.0207     -0.0159     -0.0100      51544   52758   52913 
GILCREEK      -2281547.3571   -1453645.1233    5756993.1355        -0.0343     -0.0136     -0.0118      51544   52913   53094 
GILCREEK      -2281547.4331   -1453645.1323    5756993.0985        -0.0163     -0.0115     -0.0032      51544   53094   53369 
GILCREEK      -2281547.3851   -1453645.1523    5756993.1135        -0.0259     -0.0075     -0.0061      51544   53369   54100 
HART15M        5085490.8195    2668161.2328   -2768692.8349        -0.0003      0.0192      0.0167      51544       0   99999 
HARTRAO        5085442.7785    2668263.5343   -2768696.9601        -0.0003      0.0192      0.0167      51544       0   99999 
HATCREEK      -2523969.9942   -4123506.1569    4147752.3944        -0.0108      0.0173     -0.0156      51544       0   99999 
HAYSTACK       1492404.6818   -4457266.5081    4296881.8042        -0.0157      0.0003      0.0060      51544       0   99999 
HN-VLBA        1446375.0682   -4447939.6598    4322306.1304        -0.0152     -0.0021      0.0044      51544       0   99999 
HOBART12      -3949990.2843    2522421.1037   -4311708.5713        -0.0383      0.0083      0.0414      51544       0   99999 
HOBART26      -3950236.8559    2522347.5744   -4311562.4144        -0.0383      0.0083      0.0414      51544       0   99999 
HRAS 085      -1324211.0425   -5332023.1669    3232118.3613        -0.0135     -0.0026     -0.0020      51544       0   99999 
KASHIM11      -3997505.5293    3276878.0881    3724240.8596        -0.0682     -0.0337     -0.0355      51544   55631   99999 
KASHIM34      -3997649.2330    3276690.7733    3724278.8177        -0.0013      0.0057     -0.0060      51544       0   55631 
KASHIM34      -3997644.5712    3276687.2610    3724276.4126        -0.4029      0.2007      0.1563      51544   55631   99999 
KASHIMA       -3997892.2839    3276581.3019    3724118.2305        -0.0013      0.0057     -0.0060      51544       0   55631 
KATH12M       -4147354.0879    4581542.4894   -1573303.9497        -0.0422     -0.0074      0.0567      51544       0   99999 
KAUAI         -5543846.0822   -2054563.4552    2387814.2233        -0.0088      0.0633      0.0346      51544       0   99999 
KOKEE         -5543837.6555   -2054567.6770    2387852.0424        -0.0089      0.0629      0.0326      51544       0   99999 
KP-VLBA       -1995678.6628   -5037317.7113    3357328.1074        -0.0132      0.0003     -0.0061      51544       0   99999 
KWAJAL26      -6143536.3257    1363997.9981    1034707.8100         0.0177      0.0698      0.0317      51544       0   99999 
LA-VLBA       -1449752.3976   -4975298.5851    3709123.9073        -0.0139      0.0000     -0.0046      51544       0   99999 
MATERA         4641938.7155    1393003.0703    4133325.5880        -0.0182      0.0184      0.0147      51544       0   99999 
MEDICINA       4461369.9339     919596.8749    4449559.2419        -0.0174      0.0183      0.0118      51544       0   50265 
MEDICINA       4461369.9321     919596.8742    4449559.2393        -0.0174      0.0183      0.0118      51544   50265   99999 
METSAHOV       2892585.0515    1311715.3960    5512640.0142        -0.0150      0.0146      0.0113      51544       0   99999 
MIAMI20         961255.2983   -5674092.5932    2740533.8041        -0.0104      0.0016      0.0015      51544       0   99999 
MK-VLBA       -5464075.0005   -2495248.9319    2148296.9447        -0.0137      0.0630      0.0326      51544       0   99999 
MOJAVE12      -2356171.0982   -4646755.8370    3668470.6052        -0.0151      0.0051      0.0000      51544       0   48800 
