AIRA        31.82   130.60   321.79    -0.37     0.40    -0.81     -0.50    -0.05    -0.08      0.28     0.35    -0.08      0.22    -0.01    -0.03      0.13    -0.11     0.06      0.01    -0.01     0.01 
ALGOPARK    45.96   -78.07   224.00     0.44     0.11    -0.07     -0.58    -0.00     0.03     -0.10    -0.40    -0.24     -0.08     0.01     0.02     -0.30     0.02    -0.05      0.15     0.00     0.00 
AUSTINTX    30.34   -97.70   189.63     0.86     0.34     0.74     -0.81    -0.04    -0.02      0.04    -0.35    -0.20     -0.21     0.01     0.01     -0.22    -0.05    -0.11      0.09     0.01     0.01 
AZORES      37.74   -25.66    58.57     0.07    -0.14    -0.90      0.20     0.05     0.03     -0.44    -0.27     0.04      0.17     0.01     0.02     -0.11     0.19     0.07      0.03     0.00    -0.01 
BADARY      51.77   102.23   821.64    -0.40     0.16    -0.06     -0.46     0.01    -0.02      0.15     0.42    -0.14      0.09    -0.01    -0.01      0.27    -0.02     0.02      0.10    -0.00    -0.00 
BERMUDA     32.36   -64.67   -30.69     0.40     0.12    -0.38     -0.90     0.01     0.05     -0.19    -0.40    -0.25      0.04     0.01     0.02     -0.20     0.04     0.01      0.11     0.00    -0.00 
BLKBUTTE    33.66  -115.72   489.39     0.63     0.53     0.96     -0.16    -0.03    -0.04      0.10    -0.33    -0.09     -0.27     0.01     0.02     -0.22    -0.09    -0.16      0.03     0.00     0.01 
BLOOMIND    39.18   -86.50   217.94     0.64     0.23     0.20     -0.76    -0.01     0.02     -0.03    -0.38    -0.24     -0.13     0.01     0.01     -0.25    -0.01    -0.09      0.12     0.00     0.00 
BR-VLBA     48.13  -119.68   250.49     0.35     0.33     0.46     -0.00    -0.02    -0.02      0.16    -0.31    -0.03     -0.25     0.01     0.02     -0.28    -0.14    -0.19      0.02     0.00     0.01 
BREST       48.41    -4.50   104.48    -0.01    -0.19    -0.43      0.43     0.02     0.00     -0.48    -0.10     0.12      0.10     0.01     0.01     -0.01     0.29     0.06     -0.04    -0.01    -0.02 
CARNUSTY    56.48    -2.78    57.86    -0.03    -0.11    -0.31      0.28     0.01    -0.00     -0.48    -0.10     0.10      0.09     0.01     0.01     -0.00     0.34     0.06     -0.03    -0.01    -0.02 
