% Reference: Hana Spicakova, J. Böhm, L. Plank, T. Nilsson, H. Schuh. Atmospheric Effects on VLBI-derived
% Terrestrial and Celestial Reference Frames. International Association of Geodesy Symposia. Editors Chris Rizos,
% Pascal Willis. ISSN: 0939-9585. (submitted)
% (IUGG Melbourne 28 June - 07 July, 2011)




% station          x [m]           y [m]         z [m]            vx [m/y]    vy [m/y]    vz [m/y]      epoch   start    end 

FORTLEZA       4985370.0378   -3955020.3431    -428472.2433        -0.0021     -0.0038      0.0124      51544       0   99999 
KOKEE         -5543837.6553   -2054567.6727    2387852.0407        -0.0090      0.0633      0.0322      51544       0   99999 
NRAO20          883772.7035   -4924385.5990    3944042.5057        -0.0143     -0.0029      0.0041      51544       0   99999 
WETTZELL       4075539.8364     931735.3129    4801629.4022        -0.0158      0.0168      0.0101      51544       0   99999 
NYALES20       1202462.7131     252734.4198    6237766.0788        -0.0143      0.0074      0.0103      51544       0   99999 
GILCREEK      -2281547.3705   -1453645.0928    5756993.1398        -0.0215     -0.0035     -0.0075      51544       0   52581 
GILCREEK      -2281547.3464   -1453645.0583    5756993.3265        -0.0412     -0.0333     -0.0740      51544   52581   52669 
GILCREEK      -2281547.3814   -1453645.1303    5756993.0945        -0.0299     -0.0101      0.0009      51544   52669   52758 
GILCREEK      -2281547.3944   -1453645.1023    5756993.0885        -0.0261     -0.0186      0.0027      51544   52758   52913 
GILCREEK      -2281547.3764   -1453645.1283    5756993.1715        -0.0308     -0.0115     -0.0193      51544   52913   53094 
GILCREEK      -2281547.4464   -1453645.1393    5756993.1325        -0.0142     -0.0090     -0.0101      51544   53094   53369 
GILCREEK      -2281547.3704   -1453645.1363    5756993.0765        -0.0295     -0.0096      0.0011      51544   53369   54100 
MATERA         4641938.7144    1393003.0741    4133325.5884        -0.0187      0.0186      0.0144      51544       0   99999 
TSUKUB32      -3957408.7833    3310229.4078    3737494.8014        -0.0029      0.0049     -0.0052      51544       0   51299 
TSUKUB32      -3957408.7766    3310229.4133    3737494.8042        -0.0029      0.0049     -0.0052      51544   51299   55631 
ALGOPARK        918034.6948   -4346132.2776    4561971.1778        -0.0159     -0.0039      0.0039      51544       0   99999 
HARTRAO        5085442.7781    2668263.5382   -2768696.9594        -0.0006      0.0198      0.0162      51544       0   99999 
