#'''/''''1''''/''''2''''/''''3''''/''''4''''/''''5''''/''''6''''/''''7''''/''''8
# Notes:
#
# this file is named antenna.dat
#
# CDP has multiple names for some monuments.
#     ?????CDP indicates no CDP name corresponding to IERS name
#
# IERS names are not unique for each monument
#      NO DOMES means no IERS name corresponding to CDP monument
#
# IERS names ending with pq are post-earthquake positions of
# a monument--the same physical monument in these cases has two
# (usually consequetive) local monument numbers
#
# Domes # is of the form [site #][type][local monument #]
# where type S is an intersection of axes
#   and type M is a ground marker
#
# The letter folowing the CDP monument number indicates:
#    f = fixed station (including VNDNBERG & YELL7296)
#        (Not the same as IERS code S)
#    m = mobile or transportable (Japanese)
#        (Not the same as IERS code M)
#
# 980731      KDB  entering preliminary (assumed) values for:
#                  Tigo-Wettzell's IERS name
#                  DSS65, Kodiak, Medicina post-episodic motion domes numbers and IERS names.
#                  These should be updated at some point.
#                  Also Tigo-Wettzell needs a domes number.
# 980803      KDB  Change Tigo-Wettzell coordinates to ones generated by gsnoop.
#                  (Initial values were the same as Wettzell.
#                  Also remove DSS65, Kodiak, Medicina from 980731.  (The IERS
#                  is not updating therr domes numbers.)
# 980811      KDB  Final Tigo-Wettzell values.
# 990407      KDB  Preliminary TSUKUB32 from gsnoop on solution cm 1113a.
# 990806      KDB  Final TSUKUB32 values.
# 2000.10.13  pet  Added AIRA, CHICHI10, KASHIM11, KOGANEI, MIURA,
#                  MIZUSGSI, SINTOTU, SINTOTU3, TATEYAMA, TITIJIMA  -- letter
#                  from Kurihara-san of 21 Aug 2000 15:46:23 +0900
#                  Added SYOWA -- fax from Shibuya-san of 31-AUG-00
# 2000.11.14  pet  Added SUWON. Letter from Z. Altamimi of 14 Nov 2000 18:14:44 +0000
# 2000.12.12  pet  Added GIFU3. Letter from K. Takazhima Altamimi of 12 Dec 2000 11:39:39 -0500
# 2001.06.26  Takasima Added TSUKU3.  
# 2002.06.17  kdb  Added TIGOCONC, using memo from H. Hase of 6/14/02 (via L. Petrov).
# 2002.06.18  kdb  Added KOGANEI3, KANOZAN using e-mails from Y. Koyama and K. Takashima 
#                    of 6/18/02.  (No monument number is available for KOGANEI3, and 
#                    KANOZAN does not have a monument number, domes number or IERS name.)
# 2002.06.19  kdb  Arbitrarily adding obviously false monument numbers for
#                  KANOZAN (0001) and KOGANEI3 (0002).  Otherwise there is no
#                  way to identify these in sinex output files.
# 2004.06.08  kdb  KOGANEI3 has now been assigned a monument number.
# 2005.01.12  kdb  Add CTVASTJ.
# 2007.12.17  kdb  Add BADARY, CTVASBAY, DSS13, DSS65A, GBT-VLBA, GIFU11, 
#                      KAINAN, METSAHOV, SVETLOE, TOMAKO11, VERAIRIK,
#                      VERAISGK, VERAMZSW, VERAOGSW, VLA-N8, and ZELENCHK.
# 2010.10.27  DG   Added HOBART12.
# 2011.07.29  kdb  Added WARK12M.  
#                  Changed HOBART12 CDP number after CDDIS corrected the original number.
#                  Added preliminary information for Katherine and Yarragadee.
# 2011.08.25  kdb  Correct KANOZAN's information.  Also add a monument number for TOMAKO11
#                  which is false but in keeping with ECCDAT.ecc.
#
#
#'''/''''1''''/''''2''''/''''3''''/''''4''''/''''5''''/''''6''''/''''7''''/''''8''''/''''9''''/''''0''''
#                                                                                                                                     earth
#                                                                                                                                     quake
#IVS name mon    domes #   IERS name        Annual report description           IERS submission descr  longitude    latitude   height  time
#                                                                                                      dg mn secs  dg mn secs  meters  tag
#'''/''''1''''/''''2''''/''''3''''/''''4''''/''''5''''/''''6''''/''''7''''/''''8''''/''''9''''/''''0''''
AIRA     7348 f 21742S002 AIRA              Aira, Kagoshima, Japan              Aira, Japan           130 36 08.0  31 49 13.0  280.0
ALGOPARK 7282 f 40104S001 ALGONQUIN         Lake Traverse, Ont., Canada         Algonquin Park Canada 281 55 38.2  45 57 19.8  225.0
AUSTINTX 7271 m 40412M003 AUSTIN            Austin, Texas                       Austin, TX            262 18 15.3  30 20 21.6  190.5
AZORES   7609 m 31906M001 SAO MIGUEL        Azore Islands, North Atlantic       Sao Miguel, Azores    334 20 32.7  37 44 27.3   59.5
#'''/''''1''''/''''2''''/''''3''''/''''4''''/''''5''''/''''6''''/''''7''''/''''8''''/''''9''''/''''0''''
BADARY   7382 f 12338S003                   Badary, Russia
BERMUDA  7294 m 42501M002 BERMUDA           Bermuda                             Bermuda               295 19 49.9  32 21 40.4  -29.9
BLKBUTTE 7269 m 40430M001 BLACK BUTT        Black Butte, California             Black Butte, CA       244 16 48.7  33 39 49.5  490.3
BLOOMIND 7291 m 40452M001 BLOOMINGTO        Bloomington, Indiana                Bloomington, IN       273 30 05.7  39 10 45.7  218.8
BR-VLBA  7614 f 40473S001 NO DOMES          Brewster, Washington (VLBA)         Brewster, WA VLBA     240 19 00.2  48 07 52.4  251.5
BREST    7604 m 10004M002 BREST             Brest, France                       Brest, France         355 29 46.2  48 24 28.3  105.5
#'''/''''1''''/''''2''''/''''3''''/''''4''''/''''5''''/''''6''''/''''7''''/''''8''''/''''9''''/''''0''''
CARNUSTY 7603 m 13296M002 CARNUSTY          Carnoustie, Scotland                Carnoustie, Scotland  357 13 01.2  56 28 42.6   58.9
CARROLGA 7228 m 40453M001 CARROLLTON        Carrolton, Georgia                  Carrolton, GA         274 53 25.5  33 34 21.2  300.4
CHICHI10 7347 f 21732S004 CHICHIJIMA        Chichijima, Ogasawara, Japan        Chichijima, Japan     142 11 53.0  27 03 47.0   35.0
CHLBOLTN 7215 f 13201S002 CHILBOLTON        Chilbolton, England                 Chilbolton, England   358 33 41.7  51 08 42.0  147.8
CRIMEA   7332 f 12337S008 CRIMEA            Crimea, Ukraine                     Simeis Crimea Ukraine  33 58 46.5  44 23 51.2   51.1
CTVASBAY 7626 m 40171S001                   CTVA 3.6-m at Shirley's Bay, Ontario, Canada
CTVASTJ  7625 m 40101M003 CTVASTJ           St. John's, Newfoundland, Canada
St. John's, Canada    307 19 14.8  47 35 42.7  159.1
#'''/''''1''''/''''2''''/''''3''''/''''4''''/''''5''''/''''6''''/''''7''''/''''8''''/''''9''''/''''0''''
DAITO    7326 f 21738S001 DAITO             Daito Islands, Japan                Daito Islands, Japan  131 14 00.2  25 49 44.2   53.6
DEADMANL 7267 m 40431M001 DEADMAN LA        Deadman Lake, California            Deadman Lake, CA      243 43 16.0  34 15 18.0  834.4
DSS13    1516 f 40405S014                   34-m at Goldstone, CA, USA
DSS15    1515 f 40405S019 GOLDSTONE         Barstow, California                 Goldstone, CA         243 06 46.1  35 25 18.7  974.1
DSS15    1515 f 40405S034 GOLDSTONEpq       Barstow, California (pq)            Goldstone, CA pq      243 06 46.1  35 25 18.7  974.1 920627
DSS45    1545 f 50103S010 CANBERRA          Tidbinbilla, Australia (new 34-M)   Tidbinbilla Australia 148 58 39.7 -35 23 54.5  675.2
DSS65    1565 f 13407S010 MADRID            Madrid, Spain (new 34-M)            Madrid, Spain (34-M)  355 44 54.9  40 25 37.9  834.7
# entering assumed values for DSS65 post-episodic domes number and IERS name
DSS65    1565 f 13407S011 MADRIDpq          Madrid, Spain (new 34-M) (pq)       Madrid Spain(34-M) pq 355 44 54.9  40 25 37.9  834.7 970415
DSS65A   1567 f 13407S014                   34-m HEF at Madrid, Spain
#'''/''''1''''/''''2''''/''''3''''/''''4''''/''''5''''/''''6''''/''''7''''/''''8''''/''''9''''/''''0''''
EFLSBERG 7203 f 14209S001 EFFELSBERG        Effelsberg, Germany                 Effelsberg, FRG         6 53 01.0  50 31 29.4  417.7
# eflsberg is questionable - is 14209s002 valid?
EFLSBERG 7203 f 14209S002 EFFELSBERG        Effelsberg, Germany                 Effelsberg, FRG         6 53 01.0  50 31 29.4  417.7
ELY      7286 m 40432M001 ELY               Ely, Nevada                         Ely, NV               245 09 25.3  39 17 35.5 1887.1
#'''/''''1''''/''''2''''/''''3''''/''''4''''/''''5''''/''''6''''/''''7''''/''''8''''/''''9''''/''''0''''
FD-VLBA  7613 f 40442S017 FORT DAVIS        Ft. Davis, Texas (VLBA)             Ft. Davis, TX VLBA    256 03 18.6  30 38 06.1 1607.3
FLAGSTAF 7261 m 40491M003 FLAGSTAFF         Flagstaff, Arizona                  Flagstaff, AZ         248 21 54.9  35 12 52.9 2145.5
FORTLEZA 7297 f 41602S001 FORTALEZA         Fortaleza, Brazil                   Fortaleza, Brazil     321 34 26.9  -3 52 40.3   23.8
FORT ORD 7266 m 40427M001 FORT ORD          Sand City, California               Fort Ord, CA          238 13 36.2  36 40 11.2   24.7
FORTORDS 7241 m 40427M002 FORT ORD          Sand City, California               Fort Ord, CA          238 13 40.3  36 35 21.8  250.8 790808
FORTORDS 7241 m 40427M003 FORT ORDpq        Sand City, California (pq)          Fort Ord, CA pq       238 13 40.3  36 35 21.8  250.8 891001
FTD 7900 7900 m 40442M009 FORT DAVIS        Fort Davis, Texas                   Fort Davis, TX        256 03 09.6  30 38 08.9 1584.2
#'''/''''1''''/''''2''''/''''3''''/''''4''''/''''5''''/''''6''''/''''7''''/''''8''''/''''9''''/''''0''''
GBT-VLBA 7200 f 40441S008                   100-m at NRAO Green Bank, WV, USA
GILCREEK 7225 f 40408S002 FAIRBANKS         Fairbanks, Alaska                   Fairbanks, AK         212 30 09.0  64 58 42.3  333.2
GIFU3    7354 f 21747S001 GIFU              Gifu, Japan (3 meter)               Gifu, Japan           136 44 22.3  35 27 44.4   54.5
GIFU11   7361 f 21747S002                   11-m at Gifu Univ., Japan
GOLDMARS 1514 f 40405S001 GOLDSTONE         Barstow, California                 Goldstone, CA
GOLDVENU 1513 f 40405S014 GOLDSTONE         Barstow, California                 Goldstone, CA         243 12 18.4  35 14 51.7 1063.8
GORF7102 7102 m 40451M102 WASHINGTON        Greenbelt, Maryland                 Washington, D.C.      283 10 18.9  39 01 14.4   18.9
GGAO7108 7108 f 40451M125 WASHINGTON        Greenbelt, Maryland                 Washington, D.C.      283 10 24.5  39 01 18.9   14.6
GRASSE   7605 m 10002M003 GRASSE            Grasse, France                      Grasse, France          6 55 14.5  43 45 16.7 1319.6
#'''/''''1''''/''''2''''/''''3''''/''''4''''/''''5''''/''''6''''/''''7''''/''''8'''/''''9''''/''''0''''
HALEAKAL 7120 m 40445M002 MAUI              LURE Obs., Maui, Hawaii             LURE Obs., Maui, HI   203 44 38.2  20 42 27.4 3068.6
HARTRAO  7232 f 30302S001 JOHANNESBU        Johannesburg, South Africa          Hartebeesthoek S Afr.  27 41 07.4 -25 53 23.1 1416.5
