AIRA       31.82  130.60  322.39   -0.51    0.53   -0.70   -0.35    0.24   -0.18   -0.06   -0.05    0.40    0.47    0.10   -0.02 
ALGOPARK   45.96  281.93  224.00    0.57    0.02   -0.04   -0.48   -0.38    0.08   -0.06   -0.01   -0.15   -0.58   -0.02   -0.04 
AUSTINTX   30.34  262.30  189.63    0.94    0.30    0.57   -0.66   -0.27   -0.06   -0.03   -0.03    0.05   -0.57    0.01   -0.03 
AZORES     37.74  334.34   58.57    0.24   -0.30   -0.69    0.08   -0.12    0.29   -0.07    0.05   -0.59   -0.26   -0.08   -0.03 
BERMUDA    32.36  295.33  -30.69    0.60   -0.07   -0.32   -0.74   -0.24    0.11   -0.07   -0.01   -0.27   -0.54   -0.02   -0.05 
BLKBUTTE   33.66  244.28  489.40    0.62    0.54    0.75   -0.20   -0.27   -0.14   -0.02   -0.01    0.20   -0.54    0.01   -0.02 
BLOOMIND   39.18  273.50  217.94    0.75    0.15    0.18   -0.61   -0.33    0.02   -0.05   -0.02   -0.06   -0.58   -0.01   -0.04 
BR-VLBA    48.13  240.32  250.50    0.38    0.39    0.37   -0.05   -0.38   -0.20   -0.04   -0.00    0.26   -0.53    0.00   -0.04 
BREST      48.41  355.50  104.48    0.08   -0.29   -0.34    0.32    0.00    0.41   -0.02    0.07   -0.64   -0.03   -0.09    0.01 
CARNUSTY   56.48  357.22   57.86    0.05   -0.18   -0.25    0.22    0.01    0.48   -0.01    0.07   -0.65   -0.02   -0.08    0.01 
CARROLGA   33.57  274.89  299.52    0.85    0.14    0.22   -0.75   -0.29    0.01   -0.05   -0.02   -0.07   -0.57    0.00   -0.04 
CHICHI10   27.07  142.20  107.52   -0.38    0.59   -0.91   -0.06    0.17   -0.18   -0.07   -0.03    0.49    0.39    0.08   -0.05 
CHLBOLTN   51.15  358.56  146.79    0.05   -0.29   -0.28    0.30    0.03    0.43   -0.01    0.07   -0.64    0.00   -0.09    0.01 
CRIMEA     44.40   33.98   50.19   -0.21   -0.45    0.20    0.40    0.27    0.30    0.05    0.06   -0.49    0.34   -0.07    0.07 
CTVASBAY   45.40  284.08   47.94    0.57    0.01   -0.07   -0.49   -0.38    0.10   -0.06   -0.01   -0.17   -0.58   -0.02   -0.04 
CTVASTJ    47.60  307.32  155.06    0.33   -0.13   -0.39   -0.29   -0.33    0.25   -0.07    0.02   -0.40   -0.50   -0.05   -0.04 
DEADMANL   34.25  243.72  833.91    0.60    0.53    0.74   -0.18   -0.28   -0.14   -0.02   -0.01    0.21   -0.54    0.01   -0.02 
DSS15      35.42  243.11  973.22    0.58    0.51    0.71   -0.16   -0.29   -0.14   -0.02   -0.01    0.22   -0.54    0.01   -0.02 
DSS45     -35.40  148.98  674.36   -0.40    0.58   -0.79    0.20   -0.12    0.23    0.02    0.03    0.51    0.34    0.07   -0.05 
DSS65      40.43  355.75  833.84    0.08   -0.51   -0.45    0.43    0.01    0.32   -0.03    0.07   -0.63   -0.02   -0.10   -0.00 
EFLSBERG   50.52    6.88  416.67   -0.01   -0.35   -0.19    0.36    0.09    0.42   -0.00    0.07   -0.62    0.08   -0.09    0.02 
ELY        39.29  245.16 1886.22    0.55    0.44    0.59   -0.18   -0.32   -0.14   -0.02   -0.01    0.21   -0.54    0.01   -0.03 
FD-VLBA    30.64  256.06 1606.43    0.89    0.40    0.69   -0.52   -0.26   -0.08   -0.02   -0.02    0.09   -0.56    0.01   -0.02 
FLAGSTAF   35.21  248.37 2144.68    0.66    0.47    0.68   -0.28   -0.29   -0.11   -0.02   -0.01    0.16   -0.54    0.01   -0.03 
FORTLEZA   -3.88  321.57   23.08    0.71   -0.88   -1.18   -0.28    0.08   -0.07   -0.03    0.01   -0.44   -0.42   -0.07   -0.09 
FORTORDS   36.59  238.23  249.95    0.46    0.49    0.69   -0.04   -0.29   -0.17   -0.02   -0.00    0.27   -0.52    0.01   -0.03 
FORT_ORD   36.67  238.23   23.82    0.46    0.49    0.69   -0.04   -0.29   -0.17   -0.02   -0.00    0.27   -0.52    0.01   -0.03 
FTD_7900   30.64  256.05 1583.35    0.89    0.40    0.69   -0.52   -0.26   -0.08   -0.02   -0.02    0.09   -0.56    0.01   -0.02 
GBT-VLBA   38.43  280.16  823.65    0.71    0.05    0.05   -0.66   -0.32    0.05   -0.05   -0.02   -0.13   -0.57   -0.01   -0.04 
GGAO7103   39.02  283.17   12.45    0.71    0.01   -0.02   -0.65   -0.32    0.07   -0.06   -0.02   -0.15   -0.58   -0.01   -0.04 
GGAO7108   39.02  283.17   13.73    0.71    0.01   -0.02   -0.65   -0.32    0.07   -0.06   -0.02   -0.15   -0.58   -0.01   -0.04 
GIFU11     35.47  136.74   60.26   -0.41    0.52   -0.68   -0.17    0.23   -0.22   -0.06   -0.04    0.45    0.43    0.09   -0.03 
GIFU3      35.46  136.74   53.78   -0.41    0.52   -0.68   -0.17    0.23   -0.22   -0.06   -0.04    0.45    0.43    0.09   -0.03 
GILCRE02   64.98  212.50  332.08    0.13    0.28   -0.02    0.12   -0.32   -0.47   -0.07   -0.02    0.52   -0.33    0.04   -0.06 
GILCREEK   64.98  212.50  332.07    0.13    0.28   -0.02    0.12   -0.32   -0.47   -0.07   -0.02    0.52   -0.33    0.04   -0.06 
GOLDVENU   35.25  243.21 1062.93    0.58    0.51    0.71   -0.16   -0.29   -0.14   -0.02   -0.01    0.22   -0.54    0.01   -0.02 
GORF7102   39.02  283.17   17.95    0.71    0.01   -0.02   -0.65   -0.32    0.07   -0.06   -0.02   -0.15   -0.58   -0.01   -0.04 
GRASSE     43.75    6.92 1318.64   -0.01   -0.46   -0.24    0.48    0.09    0.36   -0.01    0.07   -0.62    0.09   -0.10    0.02 
HALEAKAL   20.71  203.74 3067.82    0.48    0.60    0.54    0.97   -0.04   -0.16   -0.02    0.04    0.56   -0.23   -0.00   -0.02 
HARTRAO   -25.89   27.69 1415.71   -0.54   -0.93    0.48    0.71   -0.07   -0.14   -0.08   -0.05   -0.53    0.25   -0.10    0.09 
HATCREEK   40.82  238.53 1009.28    0.45    0.44    0.57   -0.04   -0.32   -0.18   -0.02   -0.00    0.27   -0.52    0.01   -0.03 
HAYSTACK   42.62  288.51  116.69    0.58   -0.04   -0.14   -0.55   -0.35    0.12   -0.06   -0.01   -0.21   -0.57   -0.02   -0.04 
